skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4604.8	4629.3	4653.8	4656.05	4658.3
0.6	4867.1	4873.4	4879.7	4926.85	4974.0
0.7	5122.299999999999	5156.75	5191.2	5310.549999999999	5429.9
0.8	15186.099999999999	15228.25	15270.400000000001	15284.2	15298.0
0.9	21187.5	21246.65	21305.800000000003	21360.800000000003	21415.800000000003
0.99	33802.200000000004	33945.75	34089.3	34367.45	34645.6
1.1	78447.6	78923.5	79399.4	79531.35	79663.3
1.2	185632.3	185722.05	185811.8	185993.9	186176.0
1.3	222405.2	222482.35	222559.5	222689.85	222820.2
1.4	223628.0	223645.15	223662.3	223769.84999999998	223877.39999999997
1.5	223382.8	223401.65	223420.5	224259.7	225098.90000000002
