skew	whisker_min	box_min	median	box_high	whisker_high
0.5	9813.8	10030.1	10892.8	10923.5	10944.9
0.6	9778.1	10060.5	10527.6	10763.0	10801.0
0.7	10516.8	10578.7	10648.9	10655.8	10703.599999999999
0.8	9537.3	10331.0	10410.9	10448.099999999999	10466.1
0.9	8723.9	9659.3	9674.4	9680.900000000001	9796.1
0.99	7388.3	7500.900000000001	8071.4	8266.9	8308.5
1.1	5520.4	5579.7	6156.2	6200.8	6242.9
1.2	4292.6	4315.4	4688.6	4873.799999999999	4913.1
1.3	4035.5000000000005	4050.7	4054.8999999999996	4125.0	4218.900000000001
1.34	3804.7999999999997	3820.6	3885.3	3952.0	4076.1
1.5	3197.8999999999996	3527.2999999999997	3574.7	3616.6000000000004	3620.7
