skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4035.7999999999997	4052.7999999999997	4076.1000000000004	4123.1	4163.5
0.6	4113.8	4136.3	4148.4	4157.8	4229.0
0.7	4158.1	4172.2	4208.099999999999	4233.9	4478.0
0.8	4333.2	4340.3	4364.5	4368.4	4375.9
0.9	4524.0	4555.0	4577.9	4597.5	4642.9
0.99	4943.6	4990.4	4994.1	5003.6	7880.0
1.1	17471.0	18001.800000000003	18187.699999999997	18211.0	21638.3
1.2	28708.4	28930.8	29135.600000000002	29303.800000000003	29308.2
1.3	51256.5	51982.5	52855.100000000006	53031.5	53084.59999999999
1.4	100315.5	100636.3	100708.9	101191.6	101350.3
1.5	150175.8	150711.7	150843.2	150919.4	151223.59999999998
