skew	whisker_min	box_min	median	box_high	whisker_high
0.0	10548.2	10681.099999999999	10793.5	11584.5	11713.1
0.1	10373.6	11568.2	11610.800000000001	11902.7	11951.8
0.2	10557.6	10579.8	11503.2	11598.2	11706.1
0.3	10448.7	10535.7	10549.0	10567.900000000001	11528.0
0.4	11446.1	11563.5	11599.8	11614.900000000001	11959.900000000001
0.5	11477.599999999999	11538.0	11563.7	11621.4	11790.300000000001
0.6	10503.4	10511.8	11431.5	11760.7	11811.0
0.7	10435.8	11200.2	11356.5	11530.3	11653.0
0.8	9794.5	9887.1	10921.5	11103.2	11261.8
0.9	8468.5	8572.8	9641.400000000001	9725.7	9809.2
0.99	6308.8	6363.599999999999	7194.0	7317.4	7404.7
1.1	3975.2	4005.2	4549.5	4581.099999999999	4652.2
1.2	3426.2999999999997	3433.0	3485.9	3508.5	3563.7000000000003
1.3	2594.3999999999996	2649.9	2921.2	2960.5	3048.8
1.34	2808.8	2834.9	2906.2	2918.8999999999996	2965.3
1.5	2564.4	2581.5	2592.8	2594.2000000000003	2663.6
1.6	2220.7	2461.8	2493.4	2551.5	2554.7999999999997
1.7	2162.4	2172.0	2494.7	2512.7000000000003	2538.1
1.8	2070.4	2133.2	2446.2	2475.1	2476.6000000000004
1.9	2105.6	2164.9	2175.2	2451.5	2470.9
2.0	2102.5	2123.6	2144.7	2421.8999999999996	2422.5
