skew	whisker_min	box_min	median	box_high	whisker_high
0.0	9680.1	10875.2	10930.5	10935.7	11039.5
0.1	9847.900000000001	10852.3	10889.6	10937.1	11118.9
0.2	9975.6	10922.3	10989.8	10990.2	11019.0
0.3	9841.4	9843.599999999999	9946.7	10944.8	11042.8
0.4	9714.7	10892.6	10954.1	10967.0	10990.4
0.5	9641.8	9660.9	9730.0	9871.199999999999	10875.0
0.6	9665.6	10807.6	10900.7	10910.5	10936.2
0.7	10626.0	10698.099999999999	10716.7	10732.099999999999	10789.599999999999
0.8	9130.9	10204.2	10226.8	10232.400000000001	10297.2
0.9	8584.3	8671.9	8716.9	8721.400000000001	8748.0
0.99	5395.9	5481.6	5548.7	6191.400000000001	6273.6
1.1	3803.1	3812.1	3863.5	3872.7000000000003	3998.9
1.2	2637.4	2744.0	3005.6	3017.2	3031.1
1.3	2631.7000000000003	2640.8	2680.5	2681.1	2700.4
1.34	2363.6000000000004	2535.5	2537.7	2559.9	2608.5
1.5	2164.2	2302.8	2340.4	2396.6	2401.6
1.6	2115.4	2138.9	2303.5	2353.1	2411.7
1.7	2058.3999999999996	2231.5	2292.2	2331.1	2371.0
1.8	2297.0	2298.2	2318.5	2354.9	2362.2
1.9	2029.3000000000002	2289.3	2317.3999999999996	2321.2	2322.1000000000004
2.0	2025.0	2037.2	2126.9	2313.8	2334.0
