skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4678.7	4679.799999999999	4680.9	4689.65	4698.4
0.6	4926.300000000001	4930.85	4935.4	4989.65	5043.9
0.7	5465.6	5507.25	5548.9	5592.699999999999	5636.499999999999
0.8	7661.4	7725.65	7789.9	7812.2	7834.5
0.9	8941.099999999999	8976.05	9011.0	9051.0	9091.0
0.99	5973.4	6080.2	6187.0	6200.05	6213.1
1.1	3381.7999999999997	3404.3499999999995	3426.8999999999996	3477.6499999999996	3528.3999999999996
1.2	2597.3	2601.5	2605.7	2680.35	2755.0
1.3	2194.8	2225.8	2256.7999999999997	2265.0	2273.2000000000003
1.4	1968.8	2006.5499999999997	2044.2999999999997	2065.8	2087.3
1.5	1915.5	1939.4	1963.3	2029.1999999999998	2095.1
