skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4325.5	4333.35	4341.200000000001	4363.1	4385.0
0.6	4434.7	4460.4	4486.1	4517.5	4548.9
0.7	4677.1	4707.8	4738.5	4762.55	4786.6
0.8	5820.099999999999	5841.049999999999	5861.999999999999	5921.449999999999	5980.9
0.9	9867.3	9993.75	10120.199999999999	10120.399999999998	10120.599999999999
0.99	15086.8	15119.599999999999	15152.4	15202.849999999999	15253.3
1.1	19766.8	19987.449999999997	20208.1	20323.35	20438.6
1.2	28495.300000000003	28774.600000000002	29053.9	29566.2	30078.5
1.3	48735.799999999996	49188.8	49641.8	50828.950000000004	52016.100000000006
1.4	98715.6	98915.6	99115.6	99247.45000000001	99379.3
1.5	196145.4	196362.0	196578.6	198902.3	201226.0
