skew	whisker_min	box_min	median	box_high	whisker_high
0.5	11715.6	11749.15	11782.699999999999	11854.599999999999	11926.5
0.6	12186.1	12484.650000000001	12783.2	12875.25	12967.3
0.7	14480.400000000001	14779.100000000002	15077.800000000001	15119.900000000001	15162.000000000002
0.8	21721.100000000002	21750.550000000003	21780.0	21872.1	21964.2
0.9	44800.6	45316.75	45832.9	46088.75	46344.6
0.99	134911.4	136746.65	138581.9	138693.3	138804.7
1.1	338549.8	338594.25	338638.7	339044.55	339450.39999999997
1.2	341179.89999999997	341311.85	341443.8	341810.75	342177.69999999995
1.3	346348.5	346620.85	346893.19999999995	347556.55000000005	348219.9000000001
1.4	345462.1	346166.64999999997	346871.19999999995	346946.25	347021.3
1.5	346997.30000000005	347565.4	348133.5	348359.30000000005	348585.10000000003
