skew	whisker_min	box_min	median	box_high	whisker_high
0.5	11253.7	11290.1	11326.5	11417.0	11507.5
0.6	11549.0	11560.3	11571.6	11602.8	11634.0
0.7	12124.100000000002	12276.650000000001	12429.199999999999	12446.849999999999	12464.5
0.8	14265.2	14510.550000000001	14755.900000000001	14803.95	14852.0
0.9	21647.5	21660.85	21674.2	21836.800000000003	21999.4
0.99	40659.3	40669.700000000004	40680.100000000006	40748.700000000004	40817.3
1.1	129847.70000000001	130177.3	130506.9	130556.4	130605.90000000001
1.2	520534.4	521765.95000000007	522997.50000000006	523164.75	523332.0
1.3	1975117.1	1975284.75	1975452.4	1979602.9000000001	1983753.4000000004
1.4	2064077.5999999999	2064932.5	2065787.4000000001	2066645.35	2067503.3
1.5	2069643.1	2071006.85	2072370.6	2072483.9000000001	2072597.2000000002
