skew	whisker_min	box_min	median	box_high	whisker_high
0.5	13045.300000000001	13199.050000000001	13352.800000000001	13357.400000000001	13362.000000000002
0.6	15703.600000000002	15819.150000000001	15934.699999999999	15957.15	15979.6
0.7	21852.1	22121.5	22390.899999999998	22521.8	22652.7
0.8	44253.8	44394.65	44535.5	44611.8	44688.1
0.9	139369.1	139685.90000000002	140002.7	140124.90000000002	140247.1
0.99	556429.3	556843.6000000001	557257.9	557626.85	557995.7999999999
1.1	2054124.5000000002	2055056.4500000002	2055988.4000000001	2057026.0	2058063.6
1.2	2071846.3999999997	2072097.3999999997	2072348.3999999997	2073347.8	2074347.2000000004
1.3	2075665.0999999999	2076183.9499999997	2076702.7999999996	2078344.9499999997	2079987.0999999996
1.4	2066254.5999999996	2069332.45	2072410.3000000003	2072621.1	2072831.9
1.5	2077226.0999999999	2077397.8499999999	2077569.5999999999	2078940.3499999996	2080311.0999999996
