skew	whisker_min	box_min	median	box_high	whisker_high
0.5	10800.300000000001	10827.6	10854.9	11025.8	11196.699999999999
0.6	10442.099999999999	10492.75	10543.4	10681.05	10818.699999999999
0.7	10196.8	10342.65	10488.5	10534.95	10581.4
0.8	10357.900000000001	10415.7	10473.5	10511.6	10549.7
0.9	8974.6	9010.150000000001	9045.7	9149.5	9253.300000000001
0.99	5627.7	5631.35	5635.0	5646.4	5657.799999999999
1.1	3372.0	3405.4	3438.8	3518.3500000000004	3597.9000000000005
1.2	2503.5	2631.0	2758.5	2762.6	2766.7
1.3	2117.6000000000004	2144.7000000000003	2171.8	2213.4500000000003	2255.1000000000004
1.4	1975.3000000000002	2008.65	2042.0000000000002	2042.1	2042.1999999999998
1.5	1898.7000000000003	1902.3500000000001	1906.0	1950.25	1994.5000000000002
