key	frequency
0	0.130650
1	0.203903
2	0.260081
3	0.299386
4	0.328307
5	0.350667
6	0.370699
7	0.388144
8	0.402631
9	0.414920
10	0.425509
11	0.435211
12	0.444192
13	0.452471
14	0.460435
15	0.468104
16	0.474757
17	0.480966
18	0.486307
19	0.491740
20	0.496895
21	0.501423
22	0.506080
23	0.510201
24	0.514636
25	0.517925
26	0.521621
27	0.525169
28	0.528551
29	0.532062
30	0.535333
31	0.538604
32	0.541727
33	0.544591
34	0.547141
35	0.550043
36	0.552981
37	0.555679
38	0.558118
39	0.560391
40	0.562572
41	0.564641
42	0.567099
43	0.569150
44	0.571349
45	0.573308
46	0.574971
47	0.577041
48	0.579314
49	0.581162
50	0.582844
51	0.584599
52	0.586373
53	0.588036
54	0.589552
55	0.591233
56	0.592933
57	0.594282
58	0.595521
59	0.597054
60	0.598773
61	0.600288
62	0.601822
63	0.603319
64	0.604908
65	0.606276
66	0.607606
67	0.608844
68	0.610101
69	0.611043
70	0.612152
71	0.613224
72	0.614444
73	0.615830
74	0.616717
75	0.617788
76	0.618842
77	0.620080
78	0.621484
79	0.622353
80	0.623147
81	0.624127
82	0.625069
83	0.626030
84	0.626917
85	0.627527
86	0.628248
87	0.629246
88	0.630040
89	0.631075
90	0.631870
91	0.632775
92	0.633441
93	0.634106
94	0.634845
95	0.635769
96	0.636564
97	0.637377
98	0.638097
99	0.638855
100	0.639594
101	0.640463
102	0.641442
103	0.642070
104	0.642810
105	0.643512
106	0.644417
107	0.645064
108	0.645674
109	0.646228
110	0.646727
111	0.647134
112	0.647744
113	0.648409
114	0.648871
115	0.649333
116	0.649869
117	0.650460
118	0.651181
119	0.651828
120	0.652530
121	0.653251
122	0.653768
123	0.654396
124	0.654914
125	0.655450
126	0.656004
127	0.656558
128	0.657076
129	0.657519
130	0.658148
131	0.658536
132	0.659072
133	0.659571
134	0.660143
135	0.660605
136	0.661178
137	0.661677
138	0.662195
139	0.662712
140	0.663266
141	0.663802
142	0.664135
143	0.664486
144	0.665096
145	0.665576
146	0.666075
147	0.666519
148	0.667036
149	0.667480
150	0.667997
151	0.668404
152	0.668829
153	0.669272
154	0.669790
155	0.670381
156	0.670806
157	0.671213
158	0.671508
159	0.671933
160	0.672395
161	0.672894
162	0.673264
163	0.673744
164	0.674058
165	0.674483
166	0.674872
167	0.675260
168	0.675537
169	0.675943
170	0.676405
171	0.676849
172	0.677182
173	0.677514
174	0.677921
175	0.678457
176	0.678752
177	0.679177
178	0.679602
179	0.679972
180	0.680378
181	0.680656
182	0.681062
183	0.681598
184	0.681931
185	0.682226
186	0.682596
187	0.683021
188	0.683409
189	0.683686
190	0.683945
191	0.684241
192	0.684536
193	0.684758
194	0.685128
195	0.685738
196	0.686200
197	0.686551
198	0.686809
199	0.687160
200	0.687456
201	0.687863
202	0.688121
203	0.688528
204	0.688861
205	0.689175
206	0.689415
207	0.689803
208	0.690025
209	0.690357
210	0.690542
211	0.690819
212	0.691041
213	0.691263
214	0.691669
215	0.691965
216	0.692242
217	0.692593
218	0.692852
219	0.693296
220	0.693776
221	0.694183
222	0.694330
223	0.694589
224	0.694866
225	0.695014
226	0.695439
227	0.695698
228	0.695883
229	0.696105
230	0.696289
231	0.696474
232	0.696770
233	0.697065
234	0.697306
