key	frequency
0	0.000100
1	0.000500
3	0.000700
4	0.000800
6	0.000900
9	0.001100
10	0.001400
11	0.001500
14	0.001600
21	0.001700
22	0.001800
25	0.001900
26	0.002000
27	0.002100
28	0.002200
30	0.002300
44	0.002400
47	0.002500
48	0.002600
52	0.002700
55	0.002800
56	0.002900
59	0.003000
65	0.003200
84	0.003300
92	0.003400
96	0.003500
108	0.003600
110	0.003700
114	0.003800
115	0.004000
117	0.004100
129	0.004200
130	0.004300
138	0.004400
139	0.004500
153	0.004700
162	0.005000
164	0.005100
190	0.005200
191	0.005300
194	0.005400
204	0.005500
217	0.005600
249	0.005700
256	0.005800
259	0.005900
265	0.006000
309	0.006100
353	0.006200
378	0.006300
400	0.006400
419	0.006500
425	0.006600
454	0.006700
460	0.006800
507	0.006900
512	0.007000
544	0.007100
546	0.007200
570	0.007300
576	0.007400
577	0.007500
621	0.007600
645	0.007700
648	0.007800
651	0.007900
657	0.008000
682	0.008100
690	0.008200
723	0.008300
728	0.008400
729	0.008500
742	0.008600
755	0.008700
757	0.008800
764	0.008900
770	0.009000
786	0.009100
806	0.009200
877	0.009300
892	0.009400
915	0.009500
925	0.009600
943	0.009700
996	0.009800
1013	0.009900
1025	0.010000
1041	0.010100
1059	0.010200
1123	0.010300
1195	0.010400
1245	0.010500
1251	0.010600
1296	0.010700
1306	0.010800
1307	0.010900
1309	0.011000
1320	0.011100
1325	0.011200
1338	0.011300
1341	0.011400
1342	0.011500
1370	0.011600
1429	0.011700
1441	0.011800
1531	0.011900
1575	0.012000
1618	0.012100
1646	0.012200
1655	0.012300
1704	0.012400
1749	0.012500
1756	0.012600
1757	0.012700
1803	0.012800
1849	0.012900
1948	0.013000
1953	0.013100
1973	0.013200
2002	0.013300
2023	0.013400
2083	0.013500
2185	0.013600
2332	0.013700
2370	0.013800
2435	0.013900
2471	0.014000
2490	0.014100
2532	0.014200
2620	0.014300
2662	0.014400
2697	0.014500
2718	0.014600
2913	0.014700
2971	0.014800
2985	0.014900
2994	0.015000
3020	0.015100
3027	0.015200
3128	0.015300
3150	0.015400
3173	0.015500
3299	0.015600
3350	0.015700
3419	0.015800
3480	0.015900
3574	0.016000
3618	0.016100
3632	0.016200
3684	0.016300
3750	0.016400
3790	0.016500
4039	0.016600
4048	0.016700
4078	0.016800
4167	0.016900
4202	0.017000
4331	0.017100
4388	0.017200
4621	0.017300
4630	0.017400
4634	0.017500
4785	0.017600
4807	0.017700
4891	0.017800
4905	0.017900
5170	0.018000
5379	0.018100
5452	0.018200
5469	0.018300
5554	0.018400
5615	0.018500
5619	0.018600
5643	0.018700
5657	0.018800
5662	0.018900
5675	0.019000
5763	0.019100
5770	0.019200
5808	0.019300
5865	0.019400
5890	0.019500
6027	0.019600
6038	0.019700
6145	0.019800
6180	0.019900
6356	0.020000
6378	0.020100
6436	0.020200
6548	0.020300
6560	0.020400
6572	0.020500
6636	0.020600
6670	0.020700
6740	0.020800
6831	0.020900
6844	0.021000
7110	0.021100
7167	0.021200
7173	0.021300
7191	0.021400
7233	0.021500
7360	0.021600
7444	0.021700
7550	0.021800
7660	0.021900
7673	0.022000
7699	0.022100
7739	0.022200
7773	0.022300
7782	0.022400
7922	0.022500
8096	0.022600
8137	0.022700
8289	0.022900
8301	0.023000
8332	0.023100
8451	0.023200
8679	0.023300
8694	0.023400
8706	0.023500
8746	0.023600
8798	0.023700
8891	0.023800
8981	0.024000
9104	0.024100
9116	0.024200
9172	0.024300
9196	0.024400
9256	0.024500
9319	0.024600
9334	0.024700
9401	0.024800
9585	0.024900
9592	0.025000
9689	0.025100
10104	0.025200
10224	0.025300
10233	0.025400
10353	0.025500
10365	0.025600
10693	0.025700
10721	0.025800
11305	0.025900
11408	0.026000
11419	0.026100
11440	0.026200
11724	0.026300
11840	0.026400
11843	0.026500
11950	0.026600
12098	0.026700
12196	0.026800
12231	0.026900
12373	0.027000
12389	0.027100
12420	0.027200
12438	0.027300
12534	0.027400
12715	0.027500
12781	0.027600
13313	0.027700
13431	0.027800
13516	0.027900
13813	0.028000
13838	0.028100
14232	0.028200
14286	0.028300
14384	0.028400
14403	0.028500
14540	0.028600
14752	0.028700
14959	0.028800
14971	0.028900
15043	0.029000
15399	0.029100
15570	0.029200
15606	0.029300
15740	0.029400
15750	0.029500
15805	0.029600
15902	0.029700
15921	0.029800
15967	0.029900
16051	0.030000
16147	0.030100
16482	0.030200
16753	0.030300
16890	0.030400
16917	0.030500
16937	0.030600
17317	0.030700
17319	0.030800
17320	0.030900
17364	0.031000
17469	0.031100
17519	0.031200
17679	0.031300
17689	0.031400
17766	0.031500
17791	0.031600
17824	0.031700
18156	0.031800
18281	0.031900
18325	0.032000
18414	0.032100
18448	0.032200
18658	0.032300
18707	0.032400
18813	0.032500
18828	0.032600
18832	0.032700
19198	0.032800
19267	0.032900
19270	0.033000
19693	0.033100
20628	0.033200
20812	0.033300
21022	0.033400
21057	0.033500
21134	0.033600
21142	0.033700
21385	0.033800
21646	0.033900
21711	0.034000
21718	0.034100
22054	0.034200
22687	0.034300
23050	0.034400
23259	0.034500
23265	0.034600
23295	0.034700
23315	0.034800
23386	0.034900
23480	0.035000
23743	0.035100
23766	0.035200
24004	0.035300
24533	0.035400
24681	0.035500
24682	0.035600
24729	0.035700
24812	0.035800
25011	0.035900
25022	0.036000
25154	0.036100
25196	0.036200
25484	0.036300
25921	0.036400
25929	0.036500
26050	0.036600
26245	0.036700
26247	0.036800
26326	0.036900
26351	0.037000
26460	0.037100
26487	0.037200
26848	0.037300
26985	0.037400
27520	0.037500
28699	0.037600
28868	0.037700
28918	0.037800
29012	0.037900
29166	0.038000
29188	0.038100
29232	0.038200
29706	0.038300
29718	0.038400
29737	0.038500
30077	0.038600
30294	0.038700
30319	0.038800
30688	0.038900
30862	0.039000
30931	0.039100
30941	0.039200
30942	0.039300
31118	0.039400
31637	0.039500
31890	0.039600
31936	0.039700
31977	0.039800
32228	0.039900
32466	0.040000
32673	0.040100
32675	0.040200
32704	0.040300
32706	0.040400
32722	0.040500
32821	0.040600
33024	0.040700
33071	0.040800
33412	0.040900
33493	0.041000
33718	0.041100
33733	0.041200
34060	0.041300
34525	0.041400
34539	0.041500
34599	0.041600
34668	0.041700
34766	0.041800
35564	0.041900
36181	0.042000
36706	0.042100
36734	0.042200
37110	0.042300
37202	0.042400
37209	0.042500
37498	0.042600
37612	0.042700
37930	0.042800
38253	0.042900
38298	0.043000
38668	0.043100
39004	0.043200
39207	0.043300
39695	0.043400
39784	0.043500
40083	0.043600
40284	0.043700
40449	0.043800
40774	0.043900
40943	0.044000
41242	0.044100
41489	0.044200
41566	0.044300
41903	0.044400
41937	0.044500
42184	0.044600
42380	0.044700
43003	0.044800
43303	0.044900
43593	0.045000
43644	0.045100
43907	0.045200
44725	0.045300
44841	0.045400
44870	0.045500
44981	0.045600
45108	0.045700
45481	0.045800
45640	0.045900
45940	0.046000
46168	0.046100
46468	0.046200
46976	0.046300
47185	0.046400
47348	0.046500
47657	0.046600
48021	0.046700
48228	0.046800
48299	0.046900
48392	0.047000
48590	0.047100
48635	0.047200
49740	0.047300
49943	0.047400
50110	0.047500
50428	0.047600
50544	0.047700
50617	0.047800
51449	0.047900
51458	0.048000
51615	0.048100
51633	0.048200
51901	0.048300
52688	0.048400
53000	0.048500
53086	0.048600
53088	0.048700
53143	0.048800
53891	0.048900
53916	0.049000
54297	0.049100
54299	0.049200
54474	0.049300
54638	0.049400
55061	0.049500
55312	0.049600
56089	0.049700
56277	0.049800
56406	0.049900
57224	0.050000
58247	0.050100
58296	0.050200
58575	0.050300
58658	0.050400
58692	0.050500
58897	0.050600
58931	0.050700
59092	0.050800
59443	0.050900
59554	0.051000
59750	0.051100
60139	0.051200
60243	0.051300
60853	0.051400
61063	0.051500
61083	0.051600
61233	0.051700
61574	0.051800
61779	0.051900
61820	0.052000
62240	0.052100
62534	0.052200
62860	0.052300
63071	0.052400
63087	0.052500
63107	0.052600
63157	0.052700
63429	0.052800
63586	0.052900
63640	0.053000
63668	0.053100
63683	0.053200
64234	0.053300
64525	0.053400
65226	0.053500
65266	0.053600
65539	0.053700
65968	0.053800
66222	0.053900
66294	0.054000
66365	0.054100
66598	0.054200
66627	0.054300
66830	0.054400
67891	0.054500
68050	0.054600
69312	0.054700
69588	0.054800
69918	0.054900
70407	0.055000
70620	0.055100
70843	0.055200
70961	0.055300
72308	0.055400
72447	0.055500
72581	0.055600
73186	0.055700
73261	0.055800
73269	0.055900
73354	0.056000
73390	0.056100
74114	0.056200
74343	0.056300
74777	0.056400
76000	0.056500
76570	0.056600
76591	0.056700
77482	0.056800
77588	0.056900
77642	0.057000
77808	0.057100
77980	0.057200
78516	0.057300
78619	0.057400
79488	0.057500
79663	0.057600
79962	0.057700
80554	0.057800
81345	0.057900
81549	0.058000
81704	0.058100
81888	0.058200
82954	0.058300
83078	0.058400
83123	0.058500
83194	0.058600
83341	0.058700
83362	0.058800
83501	0.058900
84070	0.059000
84176	0.059100
84499	0.059200
84715	0.059300
84914	0.059400
85423	0.059500
