key	frequency
0	0.002300
1	0.004033
2	0.005533
3	0.006583
4	0.007250
5	0.007950
6	0.008550
7	0.009250
8	0.009650
9	0.010067
10	0.010550
11	0.010933
12	0.011317
13	0.011783
14	0.012150
15	0.012533
16	0.012867
17	0.013250
18	0.013533
19	0.013850
20	0.014117
21	0.014350
22	0.014633
23	0.015017
24	0.015317
25	0.015550
26	0.015867
27	0.016017
28	0.016133
29	0.016383
30	0.016650
31	0.016933
32	0.017117
33	0.017333
34	0.017500
35	0.017767
36	0.017967
37	0.018117
38	0.018367
39	0.018567
40	0.018783
41	0.018933
42	0.019033
43	0.019250
44	0.019533
45	0.019600
46	0.019783
47	0.019850
48	0.020000
49	0.020250
50	0.020417
51	0.020583
52	0.020817
53	0.020917
54	0.021117
55	0.021283
56	0.021517
57	0.021600
58	0.021667
59	0.021800
60	0.021917
61	0.022100
62	0.022200
63	0.022333
64	0.022400
65	0.022467
66	0.022667
67	0.022717
68	0.022850
69	0.023017
70	0.023150
71	0.023267
72	0.023417
73	0.023600
74	0.023667
75	0.023867
76	0.023950
77	0.024083
78	0.024150
79	0.024283
80	0.024333
81	0.024450
82	0.024567
83	0.024650
84	0.024733
85	0.024850
86	0.024917
87	0.024950
88	0.025100
89	0.025233
90	0.025300
91	0.025367
92	0.025550
93	0.025683
94	0.025733
95	0.025867
96	0.025967
97	0.026017
98	0.026067
99	0.026117
100	0.026300
101	0.026367
102	0.026450
103	0.026533
104	0.026600
105	0.026683
106	0.026733
107	0.026850
108	0.026950
109	0.027033
110	0.027100
111	0.027167
112	0.027283
113	0.027400
114	0.027517
115	0.027633
116	0.027733
117	0.027767
118	0.027850
119	0.027900
120	0.028000
121	0.028117
122	0.028167
123	0.028217
124	0.028300
125	0.028317
126	0.028400
127	0.028450
128	0.028567
129	0.028583
130	0.028650
131	0.028717
132	0.028733
133	0.028883
134	0.028933
135	0.029033
136	0.029117
137	0.029217
139	0.029317
140	0.029467
141	0.029567
142	0.029600
143	0.029617
144	0.029700
146	0.029783
147	0.029850
148	0.029867
149	0.029933
150	0.029983
151	0.030033
152	0.030117
153	0.030167
154	0.030250
155	0.030317
156	0.030333
157	0.030400
158	0.030500
159	0.030550
160	0.030633
161	0.030717
162	0.030817
163	0.030850
164	0.030917
165	0.030950
166	0.031067
167	0.031150
168	0.031250
169	0.031367
170	0.031400
171	0.031500
172	0.031567
173	0.031617
174	0.031667
175	0.031783
176	0.031850
177	0.031900
178	0.031950
179	0.031967
180	0.032000
181	0.032050
182	0.032133
183	0.032167
184	0.032267
185	0.032350
186	0.032367
187	0.032467
188	0.032533
189	0.032567
190	0.032600
191	0.032667
192	0.032733
193	0.032783
194	0.032833
195	0.032900
196	0.032950
197	0.032983
198	0.033033
199	0.033117
200	0.033150
201	0.033167
202	0.033250
203	0.033283
204	0.033350
205	0.033433
206	0.033467
207	0.033600
208	0.033617
209	0.033683
210	0.033733
211	0.033800
212	0.033850
213	0.033883
214	0.033933
215	0.034017
216	0.034067
217	0.034083
218	0.034150
219	0.034217
220	0.034283
221	0.034367
222	0.034400
223	0.034450
225	0.034500
226	0.034550
227	0.034650
228	0.034700
229	0.034783
230	0.034850
231	0.034883
232	0.034900
233	0.034983
234	0.035017
235	0.035050
236	0.035083
237	0.035167
238	0.035200
239	0.035233
240	0.035283
241	0.035383
242	0.035433
243	0.035550
244	0.035567
245	0.035617
246	0.035633
247	0.035700
248	0.035717
249	0.035750
250	0.035817
251	0.035850
252	0.035917
253	0.035950
254	0.035983
255	0.036050
256	0.036100
257	0.036150
258	0.036233
259	0.036267
260	0.036317
261	0.036350
262	0.036467
263	0.036550
264	0.036633
265	0.036700
266	0.036733
267	0.036800
268	0.036817
269	0.036850
270	0.036900
271	0.036950
272	0.036983
273	0.037000
275	0.037083
276	0.037133
277	0.037200
278	0.037233
279	0.037300
280	0.037367
281	0.037417
282	0.037450
283	0.037517
285	0.037567
286	0.037583
287	0.037600
288	0.037617
289	0.037683
290	0.037733
291	0.037767
292	0.037817
293	0.037833
294	0.037850
295	0.037883
296	0.037900
297	0.037983
298	0.038033
299	0.038050
300	0.038067
301	0.038100
302	0.038183
303	0.038233
304	0.038300
305	0.038333
306	0.038417
307	0.038450
308	0.038533
309	0.038617
310	0.038683
311	0.038750
312	0.038767
313	0.038800
314	0.038817
315	0.038833
316	0.038883
317	0.038900
318	0.038933
319	0.039000
320	0.039067
321	0.039100
322	0.039117
323	0.039183
324	0.039250
325	0.039317
326	0.039367
327	0.039483
328	0.039517
329	0.039533
330	0.039550
331	0.039583
332	0.039600
335	0.039617
336	0.039633
337	0.039667
338	0.039700
339	0.039717
340	0.039750
341	0.039800
342	0.039867
343	0.039933
344	0.040000
345	0.040050
346	0.040083
347	0.040117
348	0.040167
349	0.040183
352	0.040233
354	0.040300
355	0.040350
356	0.040417
357	0.040433
358	0.040483
359	0.040533
360	0.040567
361	0.040600
363	0.040650
364	0.040700
365	0.040767
367	0.040800
368	0.040833
369	0.040933
370	0.041017
371	0.041067
372	0.041083
373	0.041133
374	0.041167
375	0.041183
376	0.041200
377	0.041217
378	0.041283
379	0.041317
380	0.041350
381	0.041417
383	0.041467
384	0.041533
385	0.041567
386	0.041583
387	0.041617
388	0.041683
390	0.041700
391	0.041750
393	0.041783
394	0.041800
395	0.041867
396	0.041883
397	0.041900
398	0.041967
401	0.042033
402	0.042050
403	0.042067
407	0.042083
408	0.042117
409	0.042183
410	0.042283
411	0.042300
412	0.042333
413	0.042350
414	0.042383
416	0.042400
417	0.042433
418	0.042467
419	0.042500
420	0.042517
421	0.042583
422	0.042600
423	0.042667
424	0.042683
425	0.042700
427	0.042767
429	0.042800
431	0.042833
432	0.042850
433	0.042867
434	0.042933
436	0.042983
437	0.043000
438	0.043033
439	0.043067
440	0.043117
441	0.043217
442	0.043267
443	0.043283
444	0.043317
445	0.043333
446	0.043383
447	0.043417
448	0.043433
449	0.043467
450	0.043483
451	0.043517
452	0.043567
453	0.043633
454	0.043667
455	0.043683
456	0.043733
457	0.043800
458	0.043833
459	0.043883
460	0.043917
461	0.043933
462	0.044017
463	0.044083
465	0.044117
466	0.044133
467	0.044167
468	0.044183
469	0.044217
471	0.044233
472	0.044283
473	0.044300
474	0.044317
476	0.044333
477	0.044350
480	0.044383
481	0.044400
482	0.044500
483	0.044533
484	0.044567
485	0.044633
486	0.044667
487	0.044700
488	0.044717
489	0.044733
490	0.044750
491	0.044817
492	0.044850
