key	frequency
0	0.004767
1	0.008018
2	0.010352
3	0.012169
4	0.014036
5	0.015786
6	0.017220
7	0.018170
8	0.019103
9	0.019970
10	0.020987
11	0.021937
12	0.022637
13	0.023354
14	0.023887
15	0.024387
16	0.025171
17	0.025921
18	0.026471
19	0.027088
20	0.027521
21	0.028221
22	0.029038
23	0.029455
24	0.030022
25	0.030522
26	0.030988
27	0.031455
28	0.031872
29	0.032139
30	0.032389
31	0.032739
32	0.033172
33	0.033672
34	0.034306
35	0.034689
36	0.035089
37	0.035406
38	0.035873
39	0.036173
40	0.036656
41	0.036923
42	0.037256
43	0.037473
44	0.037840
45	0.038123
46	0.038456
47	0.038923
48	0.039173
49	0.039507
50	0.039857
51	0.040140
52	0.040457
53	0.040857
54	0.041324
55	0.041607
56	0.041840
57	0.042040
58	0.042340
59	0.042540
60	0.042757
61	0.043024
62	0.043307
63	0.043574
64	0.043757
65	0.044074
66	0.044291
67	0.044541
68	0.044824
69	0.045174
70	0.045324
71	0.045491
72	0.045774
73	0.045958
74	0.046224
75	0.046491
76	0.046641
77	0.046891
78	0.047125
79	0.047275
80	0.047425
81	0.047575
82	0.047741
83	0.047858
84	0.048058
85	0.048191
86	0.048408
87	0.048658
88	0.048925
89	0.049208
90	0.049408
91	0.049542
92	0.049742
93	0.049975
94	0.050142
95	0.050242
96	0.050408
97	0.050608
98	0.050792
99	0.050942
100	0.051192
101	0.051375
102	0.051592
103	0.051709
104	0.051859
105	0.052009
106	0.052175
107	0.052375
108	0.052542
109	0.052775
110	0.053109
111	0.053242
112	0.053426
113	0.053492
114	0.053676
115	0.053892
116	0.054092
117	0.054159
118	0.054459
119	0.054626
120	0.054759
121	0.054976
122	0.055093
123	0.055243
124	0.055376
125	0.055509
126	0.055643
127	0.055809
128	0.055926
129	0.056059
130	0.056293
131	0.056426
132	0.056576
133	0.056743
134	0.056959
135	0.057143
136	0.057226
137	0.057376
138	0.057443
139	0.057710
140	0.057843
141	0.057960
142	0.058076
143	0.058276
144	0.058410
145	0.058526
146	0.058726
147	0.058893
148	0.059143
149	0.059310
150	0.059393
151	0.059493
152	0.059543
153	0.059627
154	0.059777
155	0.059893
156	0.060043
157	0.060127
158	0.060227
159	0.060360
160	0.060410
161	0.060527
162	0.060693
163	0.060810
164	0.060910
165	0.061010
166	0.061094
167	0.061210
168	0.061344
169	0.061477
170	0.061610
171	0.061710
172	0.061810
173	0.061877
174	0.062010
175	0.062160
176	0.062344
177	0.062460
178	0.062577
179	0.062710
180	0.062827
181	0.062977
182	0.063161
183	0.063277
184	0.063344
185	0.063477
186	0.063677
187	0.063811
188	0.063944
189	0.064111
190	0.064261
191	0.064377
192	0.064561
193	0.064727
194	0.064861
195	0.064944
196	0.065044
197	0.065111
198	0.065261
199	0.065328
200	0.065411
201	0.065561
202	0.065694
203	0.065911
204	0.065961
205	0.066044
206	0.066244
207	0.066461
208	0.066611
209	0.066711
210	0.066761
211	0.066894
212	0.067045
213	0.067178
214	0.067295
215	0.067345
216	0.067445
217	0.067528
218	0.067611
219	0.067695
220	0.067811
221	0.067978
222	0.068078
223	0.068178
224	0.068228
225	0.068361
226	0.068495
227	0.068578
228	0.068728
229	0.068778
230	0.068828
231	0.068911
232	0.069028
233	0.069212
234	0.069345
235	0.069478
236	0.069612
237	0.069728
238	0.069828
239	0.069928
240	0.070062
241	0.070128
242	0.070212
243	0.070295
244	0.070345
245	0.070445
246	0.070528
247	0.070612
248	0.070745
249	0.070812
250	0.070845
251	0.070928
252	0.071045
253	0.071095
254	0.071179
255	0.071329
256	0.071462
257	0.071612
258	0.071762
259	0.071929
260	0.071945
261	0.072079
262	0.072145
263	0.072195
264	0.072379
265	0.072545
266	0.072645
267	0.072812
268	0.072879
269	0.072929
270	0.073079
271	0.073212
272	0.073296
273	0.073362
274	0.073429
275	0.073529
276	0.073679
277	0.073729
278	0.073862
279	0.073979
280	0.074146
281	0.074179
282	0.074262
283	0.074296
284	0.074312
285	0.074462
286	0.074579
287	0.074779
288	0.074829
289	0.074896
290	0.074962
291	0.075079
292	0.075213
293	0.075246
294	0.075313
295	0.075379
296	0.075513
297	0.075596
298	0.075679
299	0.075779
300	0.075913
301	0.076013
302	0.076096
303	0.076196
304	0.076296
305	0.076363
306	0.076463
307	0.076563
308	0.076646
309	0.076729
310	0.076829
311	0.076963
312	0.077013
313	0.077080
314	0.077130
315	0.077196
316	0.077346
317	0.077380
318	0.077480
319	0.077546
320	0.077646
321	0.077696
322	0.077796
323	0.077830
324	0.077946
325	0.077963
326	0.078013
327	0.078046
328	0.078113
329	0.078180
330	0.078230
331	0.078246
332	0.078396
333	0.078430
334	0.078546
335	0.078580
336	0.078663
337	0.078696
338	0.078746
339	0.078880
340	0.078930
341	0.079013
342	0.079047
343	0.079230
344	0.079380
345	0.079413
346	0.079563
347	0.079630
348	0.079713
349	0.079830
350	0.079913
351	0.079963
352	0.080063
353	0.080147
354	0.080263
355	0.080313
357	0.080413
358	0.080463
359	0.080580
360	0.080663
361	0.080797
362	0.080880
363	0.080997
364	0.081114
365	0.081180
366	0.081214
368	0.081230
369	0.081314
370	0.081347
371	0.081430
372	0.081497
373	0.081547
374	0.081597
375	0.081714
376	0.081780
377	0.081847
378	0.081914
379	0.081947
380	0.082064
381	0.082147
382	0.082230
383	0.082347
384	0.082414
385	0.082464
386	0.082580
387	0.082614
389	0.082747
390	0.082797
391	0.082847
392	0.082947
393	0.083064
394	0.083197
395	0.083231
396	0.083297
397	0.083464
398	0.083514
399	0.083564
400	0.083731
401	0.083781
402	0.083831
403	0.083881
404	0.083947
405	0.084064
406	0.084147
407	0.084214
408	0.084281
409	0.084381
410	0.084464
411	0.084497
413	0.084597
414	0.084697
415	0.084814
416	0.084864
417	0.084897
418	0.085048
419	0.085081
420	0.085148
421	0.085231
422	0.085381
423	0.085481
424	0.085614
425	0.085714
426	0.085814
427	0.085864
428	0.085914
429	0.085964
430	0.086031
431	0.086098
432	0.086114
433	0.086214
434	0.086264
435	0.086348
436	0.086431
437	0.086514
438	0.086531
439	0.086548
440	0.086648
441	0.086664
442	0.086714
443	0.086798
444	0.086864
445	0.086898
446	0.086981
447	0.087048
448	0.087115
449	0.087165
450	0.087215
451	0.087265
452	0.087298
453	0.087348
454	0.087415
455	0.087498
456	0.087515
457	0.087631
458	0.087698
459	0.087765
460	0.087798
461	0.087848
462	0.087898
463	0.087948
465	0.087981
466	0.088098
467	0.088165
468	0.088181
469	0.088198
470	0.088265
471	0.088298
472	0.088331
473	0.088415
474	0.088481
475	0.088548
476	0.088631
477	0.088648
478	0.088715
479	0.088731
480	0.088765
481	0.088831
482	0.088931
483	0.088948
484	0.088965
485	0.088981
486	0.088998
487	0.089065
488	0.089115
489	0.089198
490	0.089265
491	0.089415
492	0.089448
493	0.089482
494	0.089565
495	0.089632
496	0.089698
497	0.089798
498	0.089832
499	0.089865
500	0.089915
501	0.090015
502	0.090098
503	0.090215
504	0.090282
505	0.090315
506	0.090332
507	0.090432
509	0.090498
510	0.090598
511	0.090648
512	0.090715
513	0.090782
514	0.090798
515	0.090948
516	0.091032
517	0.091099
518	0.091165
519	0.091199
520	0.091265
521	0.091349
522	0.091432
523	0.091532
524	0.091632
525	0.091699
526	0.091715
528	0.091749
529	0.091832
530	0.091882
531	0.091915
532	0.091982
533	0.092065
534	0.092099
535	0.092165
536	0.092232
537	0.092349
538	0.092399
539	0.092449
540	0.092482
541	0.092582
542	0.092632
543	0.092715
544	0.092749
545	0.092782
546	0.092849
547	0.092965
548	0.093032
549	0.093082
550	0.093132
551	0.093182
552	0.093232
553	0.093316
554	0.093382
555	0.093449
556	0.093516
557	0.093566
558	0.093716
559	0.093782
560	0.093866
561	0.093916
562	0.094032
563	0.094132
564	0.094149
565	0.094232
566	0.094266
567	0.094366
568	0.094432
569	0.094482
570	0.094566
571	0.094632
572	0.094716
573	0.094766
574	0.094799
575	0.094866
576	0.094949
577	0.095049
578	0.095099
579	0.095149
580	0.095233
581	0.095249
582	0.095266
583	0.095316
584	0.095383
585	0.095416
586	0.095466
587	0.095566
588	0.095583
589	0.095599
590	0.095733
591	0.095766
592	0.095783
593	0.095816
594	0.095833
595	0.095849
596	0.095916
597	0.095966
598	0.096016
599	0.096049
600	0.096083
601	0.096133
603	0.096233
604	0.096249
605	0.096316
606	0.096399
607	0.096416
608	0.096449
609	0.096499
610	0.096566
611	0.096616
612	0.096683
613	0.096716
614	0.096783
615	0.096799
616	0.096866
617	0.096883
618	0.096933
619	0.096983
620	0.097050
621	0.097150
622	0.097183
623	0.097283
624	0.097316
625	0.097383
626	0.097400
627	0.097550
628	0.097650
629	0.097733
630	0.097800
631	0.097866
632	0.097883
633	0.097933
634	0.097966
635	0.098033
636	0.098133
637	0.098183
638	0.098216
639	0.098266
640	0.098300
641	0.098416
642	0.098466
643	0.098500
645	0.098583
646	0.098616
647	0.098666
648	0.098716
649	0.098816
650	0.098900
651	0.099017
652	0.099067
654	0.099117
655	0.099167
656	0.099267
657	0.099333
658	0.099383
659	0.099450
660	0.099500
661	0.099533
662	0.099633
664	0.099650
665	0.099717
666	0.099750
667	0.099850
668	0.099883
669	0.099917
670	0.099933
671	0.099950
672	0.099983
673	0.100017
674	0.100050
676	0.100067
677	0.100117
678	0.100150
679	0.100233
680	0.100317
681	0.100417
682	0.100433
683	0.100450
684	0.100483
685	0.100500
686	0.100533
687	0.100617
688	0.100650
689	0.100717
690	0.100750
692	0.100767
693	0.100800
694	0.100867
695	0.100933
696	0.100950
697	0.101034
698	0.101067
699	0.101100
700	0.101134
701	0.101167
702	0.101200
703	0.101267
704	0.101367
705	0.101417
706	0.101450
707	0.101484
708	0.101534
709	0.101584
710	0.101667
712	0.101700
714	0.101734
715	0.101767
716	0.101884
717	0.101934
718	0.101950
719	0.101984
720	0.102050
721	0.102100
722	0.102167
723	0.102200
724	0.102250
725	0.102300
726	0.102350
727	0.102417
729	0.102500
730	0.102517
731	0.102550
732	0.102634
733	0.102684
734	0.102734
736	0.102767
737	0.102817
738	0.102917
739	0.102984
740	0.103017
741	0.103084
742	0.103201
743	0.103217
745	0.103251
746	0.103367
747	0.103451
748	0.103501
749	0.103584
750	0.103601
751	0.103634
752	0.103717
753	0.103751
754	0.103801
755	0.103851
756	0.103901
757	0.103934
758	0.104017
759	0.104101
760	0.104134
761	0.104184
762	0.104234
763	0.104284
764	0.104334
765	0.104351
766	0.104367
767	0.104417
768	0.104467
769	0.104517
770	0.104551
771	0.104601
772	0.104667
773	0.104684
774	0.104751
775	0.104801
776	0.104884
777	0.104917
778	0.104984
779	0.105034
781	0.105084
782	0.105101
783	0.105151
784	0.105184
785	0.105234
786	0.105301
790	0.105351
791	0.105401
792	0.105451
793	0.105534
794	0.105601
795	0.105634
796	0.105684
797	0.105751
798	0.105818
799	0.105851
800	0.105868
802	0.105901
803	0.106001
804	0.106018
805	0.106101
806	0.106118
807	0.106151
808	0.106201
809	0.106284
810	0.106301
811	0.106351
812	0.106401
813	0.106484
814	0.106518
816	0.106568
817	0.106651
818	0.106701
819	0.106784
820	0.106801
821	0.106834
822	0.106868
825	0.106884
826	0.106934
827	0.106951
828	0.106968
829	0.107035
830	0.107101
831	0.107151
832	0.107201
833	0.107251
834	0.107318
835	0.107401
836	0.107535
837	0.107568
838	0.107635
840	0.107701
841	0.107751
842	0.107768
843	0.107818
844	0.107851
845	0.107901
846	0.107968
847	0.108051
848	0.108135
849	0.108185
850	0.108235
852	0.108251
853	0.108268
854	0.108318
855	0.108368
856	0.108385
857	0.108401
858	0.108451
859	0.108485
860	0.108585
861	0.108635
862	0.108751
863	0.108785
864	0.108835
865	0.108868
866	0.108901
867	0.108935
869	0.108951
870	0.109002
871	0.109018
872	0.109085
873	0.109102
874	0.109135
875	0.109168
876	0.109218
877	0.109268
878	0.109335
