concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
4	0.0	0.0	120343.0	2005.6999999999998	3.6500000000000004	2.8499999999999996	11.5	14.7	34.650000000000006	0.0	0.0	0.0	6438.0	107.3	4.65	3.8499999999999996	13.1	21.5	51.35	0.0	0.0	0.0	126781.0	2113.0	3.7	2.8499999999999996	12.1	14.7	51.35
12	0.0	0.0	235651.0	3927.3999999999996	5.6	3.3499999999999996	16.8	23.1	54.5	0.0	0.0	0.0	12555.0	209.3	8.45	4.5	30.95	58.7	174.05	0.0	0.0	0.0	248206.0	4136.700000000001	5.7	3.4	17.8	24.1	174.05
20	0.0	0.0	273247.0	4554.0	7.85	3.5	27.3	37.7	75.5	0.0	0.0	0.0	14339.0	239.0	15.95	4.7	71.3	132.1	377.45	0.0	0.0	0.0	287586.0	4793.0	8.25	3.7	28.3	41.9	377.45
28	0.0	0.0	236830.0	3947.1	12.45	4.35	41.9	52.4	115.30000000000001	0.0	0.0	0.0	12490.0	208.2	30.799999999999997	5.5	142.6	251.64999999999998	536.9	0.0	0.0	0.0	249320.0	4155.3	13.4	4.5	44.0	62.9	536.9
36	0.0	0.0	276509.0	4608.3	13.8	3.8	52.4	65.0	127.9	0.0	0.0	0.0	14594.0	243.2	31.35	4.85	155.2	302.0	721.4	0.0	0.0	0.0	291103.0	4851.6	14.7	3.8499999999999996	54.5	75.5	721.4
44	0.0	0.0	244032.0	4067.1	18.9	4.2	65.0	79.7	146.8	0.0	0.0	0.0	12757.0	212.6	49.0	5.2	243.3	427.79999999999995	989.9	0.0	0.0	0.0	256789.0	4279.7	20.4	4.35	67.1	96.5	989.9
52	0.0	0.0	276681.0	4611.2	20.1	4.1	75.5	88.1	155.2	0.0	0.0	0.0	14624.0	243.8	43.95	5.1	222.3	402.7	1023.4000000000001	0.0	0.0	0.0	291305.0	4855.0	21.25	4.2	79.7	100.7	1023.4000000000001
60	0.0	0.0	277737.0	4628.7	23.1	4.2	88.1	104.9	209.7	0.0	0.0	0.0	14629.0	243.8	50.85	5.2	255.85	469.8	1442.85	0.0	0.0	0.0	292366.0	4872.6	24.5	4.2	90.19999999999999	119.5	1442.85
60	0.0	0.0	279115.0	4651.799999999999	23.0	3.9	88.1	104.9	201.3	0.0	0.0	0.0	14695.0	244.9	49.599999999999994	4.7	260.0	469.8	1157.65	0.0	0.0	0.0	293810.0	4896.7	24.3	3.9	92.3	115.30000000000001	1157.65
64	0.0	0.0	273852.0	4564.0	24.85	4.1	96.5	109.1	230.7	0.0	0.0	0.0	14424.0	240.3	57.05	5.2	293.6	570.4	1375.75	0.0	0.0	0.0	288276.0	4804.4	26.45	4.2	96.5	121.6	1375.75
