elapsed-r	errors-r	ops/sec(inst)-r	ops/sec(cum)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	elapsed-w	errors-w	ops/sec(inst)-w	ops/sec(cum)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w
1.0	0.0	1179.8	1953.4	12.6	46.1	71.3	134.2	1.0	0.0	39.9	66.0	218.1	369.1	369.1	402.7
2.0	0.0	1795.1	1874.4	11.0	29.4	39.8	58.7	2.0	0.0	90.0	78.0	419.4	469.8	469.8	486.5
3.0	0.0	1745.7	1831.7	11.0	27.3	44.0	402.7	3.0	0.0	88.0	81.3	436.2	570.4	570.4	604.0
4.0	0.0	1649.7	1786.1	12.1	37.7	65.0	260.0	4.0	0.0	108.0	88.0	369.1	469.8	469.8	503.3
5.0	0.0	1763.7	1781.3	12.1	37.7	60.8	96.5	5.0	0.0	76.1	85.6	385.9	453.0	453.0	453.0
6.0	0.0	1932.0	1806.6	10.5	26.2	44.0	62.9	6.0	0.0	82.0	85.0	385.9	453.0	469.8	503.3
7.0	0.0	1669.8	1787.1	11.0	26.2	37.7	75.5	7.0	0.0	79.0	84.1	402.7	469.8	469.8	486.5
8.0	0.0	1737.4	1780.9	10.5	27.3	52.4	130.0	8.0	0.0	98.0	85.9	436.2	503.3	536.9	536.9
9.0	0.0	1314.5	1729.0	12.6	27.3	41.9	121.6	9.0	0.0	88.0	86.1	402.7	486.5	503.3	503.3
10.0	0.0	1399.6	1696.2	13.1	33.6	52.4	906.0	10.0	0.0	83.0	85.8	453.0	520.1	536.9	536.9
11.0	0.0	1578.1	1685.3	13.6	41.9	71.3	838.9	11.0	0.0	90.1	86.2	385.9	503.3	520.1	520.1
12.0	0.0	4976.5	1960.0	6.3	27.3	60.8	96.5	12.0	0.0	313.7	105.2	24.1	167.8	385.9	385.9
13.0	0.0	5741.9	2250.7	6.0	24.1	35.7	71.3	13.0	0.0	293.2	119.6	22.0	44.0	52.4	60.8
14.0	0.0	3061.0	2308.5	6.0	39.8	50.3	71.3	14.0	0.0	122.0	119.8	13.6	335.5	402.7	436.2
15.0	0.0	2644.0	2331.2	5.8	32.5	46.1	192.9	15.0	0.0	160.6	122.5	11.5	453.0	486.5	503.3
16.0	0.0	2968.4	2370.7	5.0	39.8	50.3	75.5	16.0	0.0	156.3	124.6	18.9	469.8	486.5	503.3
17.0	0.0	4905.2	2519.6	6.3	25.2	37.7	167.8	17.0	0.0	300.1	134.9	24.1	285.2	436.2	436.2
18.0	0.0	5841.8	2704.1	6.0	23.1	35.7	60.8	18.0	0.0	293.0	143.7	23.1	44.0	54.5	54.5
19.0	0.0	5738.0	2863.8	6.0	25.2	37.7	67.1	19.0	0.0	272.0	150.5	19.9	44.0	52.4	71.3
20.0	0.0	5382.8	2990.4	6.3	25.2	39.8	65.0	20.0	0.0	314.3	158.7	21.0	48.2	52.4	67.1
21.0	0.0	5749.9	3121.3	6.0	25.2	37.7	54.5	21.0	0.0	298.6	165.3	19.9	37.7	44.0	48.2
22.0	0.0	5946.3	3249.6	5.8	24.1	39.8	83.9	22.0	0.0	299.1	171.4	18.9	37.7	46.1	50.3
23.0	0.0	6150.5	3375.7	5.8	22.0	41.9	192.9	23.0	0.0	342.0	178.8	13.1	41.9	71.3	88.1
24.0	0.0	6741.4	3516.0	5.8	18.9	30.4	56.6	24.0	0.0	360.9	186.4	11.0	33.6	46.1	65.0
25.0	0.0	7263.4	3666.1	5.8	16.8	27.3	65.0	25.0	0.0	370.5	193.8	11.0	29.4	41.9	52.4
26.0	0.0	6534.7	3776.4	5.8	22.0	35.7	56.6	26.0	0.0	394.3	201.5	11.5	32.5	52.4	56.6
27.0	0.0	7218.0	3903.6	5.5	18.9	30.4	58.7	27.0	0.0	378.4	208.0	10.5	29.4	37.7	52.4
28.0	0.0	7211.1	4022.2	5.5	17.8	28.3	48.2	28.0	0.0	394.3	214.7	10.5	30.4	48.2	62.9
29.0	0.0	7407.1	4138.6	5.5	17.8	27.3	48.2	29.0	0.0	414.5	221.6	9.4	28.3	50.3	71.3
30.0	0.0	7042.4	4235.3	5.8	19.9	32.5	56.6	30.0	0.0	345.1	225.7	9.4	31.5	48.2	75.5
31.0	0.0	7282.2	4333.7	5.5	17.8	28.3	46.1	31.0	0.0	389.0	231.0	10.0	29.4	37.7	46.1
32.0	0.0	7612.7	4436.1	5.5	16.3	24.1	41.9	32.0	0.0	437.1	237.4	10.0	28.3	44.0	52.4
33.0	0.0	7561.7	4530.7	5.5	15.7	27.3	52.4	33.0	0.0	430.0	243.2	10.5	28.3	37.7	48.2
34.0	0.0	6971.0	4602.6	5.5	18.9	35.7	176.2	34.0	0.0	384.9	247.4	8.9	26.2	58.7	234.9
35.0	0.0	7328.0	4680.4	5.8	17.8	28.3	71.3	35.0	0.0	386.0	251.4	8.9	22.0	35.7	39.8
36.0	0.0	7663.7	4763.3	5.8	16.8	26.2	48.2	36.0	0.0	381.0	255.0	7.9	19.9	29.4	35.7
37.0	0.0	7650.2	4841.3	5.5	16.3	27.3	46.1	37.0	0.0	427.1	259.6	8.4	26.2	37.7	44.0
38.0	0.0	7828.6	4920.1	5.5	15.7	25.2	37.7	38.0	0.0	405.6	263.5	8.1	23.1	37.7	41.9
39.0	0.0	7656.6	4990.2	5.5	16.3	28.3	58.7	39.0	0.0	418.2	267.4	8.9	23.1	35.7	54.5
40.0	0.0	7825.4	5061.1	5.5	16.3	28.3	52.4	40.0	0.0	414.0	271.1	8.4	25.2	37.7	44.0
41.0	0.0	7823.0	5128.4	5.5	15.2	23.1	41.9	41.0	0.0	420.8	274.8	8.4	23.1	30.4	35.7
42.0	0.0	7652.2	5188.5	5.5	17.8	29.4	60.8	42.0	0.0	387.2	277.4	8.1	24.1	37.7	50.3
43.0	0.0	7809.0	5249.8	5.5	15.2	25.2	41.9	43.0	0.0	436.0	281.1	8.1	22.0	35.7	37.7
44.0	0.0	8168.2	5315.9	5.5	14.2	26.2	50.3	44.0	0.0	404.6	283.9	8.1	19.9	35.7	52.4
45.0	0.0	7786.4	5370.7	5.5	16.8	28.3	159.4	45.0	0.0	429.9	287.2	7.9	24.1	39.8	88.1
46.0	0.0	8024.8	5428.5	5.5	15.7	26.2	41.9	46.0	0.0	431.1	290.3	7.9	18.9	30.4	35.7
47.0	0.0	8012.0	5483.5	5.2	16.3	25.2	54.5	47.0	0.0	416.7	293.0	8.1	21.0	29.4	35.7
48.0	0.0	7946.9	5534.7	5.5	16.8	27.3	79.7	48.0	0.0	429.6	295.8	7.3	17.8	26.2	37.7
49.0	0.0	8242.8	5589.9	5.2	14.2	24.1	48.2	49.0	0.0	480.0	299.6	7.6	18.9	26.2	44.0
50.0	0.0	8378.5	5645.7	5.2	14.7	26.2	37.7	50.0	0.0	441.8	302.4	7.6	21.0	37.7	41.9
51.0	0.0	8216.9	5696.1	5.2	16.3	27.3	44.0	51.0	0.0	382.3	304.0	7.9	18.9	30.4	46.1
52.0	0.0	8149.5	5743.5	5.2	15.7	27.3	54.5	52.0	0.0	379.4	305.5	7.6	18.9	29.4	32.5
53.0	0.0	8067.9	5787.1	5.2	15.7	25.2	48.2	53.0	0.0	469.8	308.5	7.9	19.9	28.3	39.8
54.0	0.0	7803.7	5824.7	5.5	16.3	28.3	44.0	54.0	0.0	434.3	310.9	7.9	22.0	30.4	44.0
55.0	0.0	7687.4	5858.3	5.5	17.8	28.3	52.4	55.0	0.0	402.4	312.5	7.9	21.0	32.5	35.7
56.0	0.0	8256.4	5901.1	5.2	15.2	26.2	50.3	56.0	0.0	427.3	314.6	7.3	17.8	37.7	50.3
57.0	0.0	8045.0	5938.9	5.5	15.2	27.3	52.4	57.0	0.0	413.5	316.3	7.3	17.8	30.4	35.7
58.0	0.0	8286.0	5979.3	5.5	14.7	23.1	37.7	58.0	0.0	431.2	318.3	7.6	19.9	30.4	37.7
59.0	0.0	8173.6	6016.4	5.5	15.2	26.2	41.9	59.0	0.0	415.0	319.9	7.6	21.0	29.4	35.7
60.0	0.0	7809.9	6046.4	5.5	16.8	27.3	44.0	60.0	0.0	448.0	322.1	7.6	19.9	28.3	44.0
61.0	0.0	8529.2	6087.0	5.2	13.6	25.2	50.3	61.0	0.0	434.2	323.9	6.8	22.0	37.7	46.1
62.0	0.0	8188.0	6120.9	5.5	15.2	26.2	39.8	62.0	0.0	432.0	325.7	7.1	14.7	26.2	31.5
63.0	0.0	8092.2	6152.3	5.2	15.7	26.2	41.9	63.0	0.0	400.7	326.9	7.1	18.9	28.3	32.5
64.0	0.0	7950.9	6180.4	5.5	16.8	27.3	41.9	64.0	0.0	368.1	327.5	7.1	19.9	31.5	46.1
65.0	0.0	8200.5	6211.4	5.5	14.7	25.2	41.9	65.0	0.0	453.7	329.4	6.8	18.9	26.2	35.7
66.0	0.0	7561.8	6232.0	5.5	17.8	39.8	109.1	66.0	0.0	397.0	330.5	7.1	21.0	39.8	65.0
67.0	0.0	7946.0	6257.5	5.5	16.3	27.3	39.8	67.0	0.0	446.0	332.2	6.8	15.2	35.7	37.7
68.0	0.0	8221.2	6286.3	5.2	15.7	27.3	41.9	68.0	0.0	422.5	333.5	7.1	19.9	27.3	39.8
69.0	0.0	7818.6	6308.6	5.5	17.8	29.4	44.0	69.0	0.0	414.4	334.7	7.6	21.0	28.3	39.8
70.0	0.0	7679.8	6328.2	5.5	17.8	27.3	44.0	70.0	0.0	415.1	335.8	7.1	19.9	29.4	37.7
71.0	0.0	8210.8	6354.7	5.2	15.7	27.3	39.8	71.0	0.0	431.7	337.2	7.1	19.9	33.6	37.7
72.0	0.0	8349.5	6382.4	5.2	14.7	25.2	50.3	72.0	0.0	431.4	338.5	7.3	18.9	30.4	37.7
73.0	0.0	8186.6	6407.1	5.2	15.7	26.2	52.4	73.0	0.0	421.7	339.6	6.6	21.0	31.5	39.8
74.0	0.0	8239.8	6431.8	5.5	15.2	22.0	37.7	74.0	0.0	437.6	341.0	7.1	18.9	24.1	31.5
75.0	0.0	8105.8	6454.1	5.2	15.7	26.2	58.7	75.0	0.0	450.9	342.4	6.6	19.9	27.3	41.9
76.0	0.0	7945.9	6473.7	5.2	16.8	27.3	56.6	76.0	0.0	427.0	343.5	6.6	19.9	32.5	37.7
77.0	0.0	8288.4	6497.3	5.2	15.7	26.2	41.9	77.0	0.0	408.8	344.4	6.3	16.3	25.2	35.7
78.0	0.0	7984.3	6516.4	5.5	16.3	26.2	39.8	78.0	0.0	412.9	345.3	6.8	18.9	27.3	35.7
79.0	0.0	8340.7	6539.5	5.2	15.2	25.2	48.2	79.0	0.0	442.0	346.5	6.6	18.9	26.2	33.6
80.0	0.0	8452.0	6563.4	5.2	14.7	25.2	44.0	80.0	0.0	431.9	347.6	6.8	19.9	32.5	44.0
81.0	0.0	8794.4	6590.9	5.2	12.6	22.0	46.1	81.0	0.0	471.2	349.1	7.1	14.2	26.2	46.1
82.0	0.0	8356.4	6612.4	5.2	15.2	28.3	44.0	82.0	0.0	421.2	350.0	6.3	21.0	30.4	33.6
83.0	0.0	8417.4	6634.2	5.2	14.7	25.2	41.9	83.0	0.0	441.8	351.1	6.6	15.7	24.1	32.5
84.0	0.0	8029.1	6650.8	5.5	15.7	26.2	37.7	84.0	0.0	443.0	352.2	6.8	18.9	29.4	35.7
85.0	0.0	7826.9	6664.6	5.5	16.8	28.3	46.1	85.0	0.0	444.0	353.2	6.6	16.3	31.5	44.0
86.0	0.0	7879.8	6678.9	5.2	16.8	31.5	117.4	86.0	0.0	414.6	354.0	7.6	19.9	30.4	35.7
87.0	0.0	8452.3	6699.1	5.2	13.6	23.1	35.7	87.0	0.0	434.6	354.9	6.6	15.7	29.4	35.7
88.0	0.0	8380.9	6718.3	5.2	15.2	24.1	41.9	88.0	0.0	446.9	355.9	6.3	18.9	27.3	31.5
89.0	0.0	8987.6	6743.7	5.2	12.1	21.0	37.7	89.0	0.0	413.1	356.6	6.8	15.7	27.3	39.8
90.0	0.0	8301.5	6761.1	5.2	15.7	25.2	39.8	90.0	0.0	409.6	357.2	7.1	17.8	27.3	35.7
91.0	0.0	8135.4	6776.3	5.2	15.7	25.2	46.1	91.0	0.0	465.6	358.4	6.8	18.9	30.4	35.7
92.0	0.0	8452.4	6794.5	5.2	14.7	25.2	48.2	92.0	0.0	443.2	359.3	6.8	16.8	23.1	29.4
93.0	0.0	8221.0	6809.7	5.2	15.2	26.2	48.2	93.0	0.0	446.3	360.2	7.1	19.9	27.3	37.7
94.0	0.0	8383.5	6826.5	5.2	14.7	23.1	41.9	94.0	0.0	454.9	361.2	6.8	15.7	26.2	37.7
95.0	0.0	8210.2	6841.2	5.2	14.7	25.2	41.9	95.0	0.0	435.5	362.0	7.1	17.8	28.3	32.5
96.0	0.0	8310.4	6856.3	5.2	15.2	25.2	52.4	96.0	0.0	413.6	362.5	6.6	18.9	28.3	37.7
97.0	0.0	8333.1	6871.5	5.2	15.2	23.1	37.7	97.0	0.0	468.2	363.6	7.1	17.8	28.3	35.7
98.0	0.0	8331.2	6886.5	5.2	15.7	24.1	37.7	98.0	0.0	425.7	364.3	7.1	18.9	28.3	30.4
99.0	0.0	8244.0	6900.2	5.2	16.3	25.2	46.1	99.0	0.0	421.8	364.8	6.0	18.9	26.2	31.5
100.0	0.0	8486.8	6916.0	5.2	15.2	24.1	37.7	100.0	0.0	444.5	365.6	6.6	15.2	24.1	28.3
101.0	0.0	8312.7	6929.9	5.2	14.7	25.2	50.3	101.0	0.0	443.8	366.4	6.8	18.9	31.5	33.6
102.0	0.0	8313.2	6943.4	5.2	14.7	25.2	50.3	102.0	0.0	417.1	366.9	7.3	19.9	28.3	30.4
103.0	0.0	8617.5	6959.7	5.2	13.6	26.2	48.2	103.0	0.0	437.8	367.6	6.8	16.8	27.3	30.4
104.0	0.0	8658.2	6976.1	5.2	12.6	23.1	41.9	104.0	0.0	469.6	368.6	6.8	15.2	24.1	35.7
105.0	0.0	8005.3	6985.8	5.5	15.7	27.3	46.1	105.0	0.0	390.5	368.8	6.8	16.8	23.1	37.7
106.0	0.0	8440.0	6999.5	5.2	14.7	23.1	39.8	106.0	0.0	424.2	369.3	6.3	17.8	23.1	33.6
107.0	0.0	8376.9	7012.4	5.2	15.2	25.2	44.0	107.0	0.0	442.9	370.0	6.8	16.8	28.3	31.5
108.0	0.0	7889.8	7020.5	5.2	16.8	29.4	58.7	108.0	0.0	450.0	370.7	7.1	19.9	31.5	35.7
