skew	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
1.1	0.0	0.0	2467.0	20.6	2277.6	201.3	10200.5	16643.0	19327.4	0.0	0.0	0.0	264.0	2.2	5600.9	1811.9	26843.5	36507.2	38654.7	0.0	0.0	0.0	2731.0	22.8	2598.9	234.9	10737.4	18253.6	38654.7
1.2	0.0	0.0	1141.0	9.5	4426.0	1811.9	16643.0	26843.5	38654.7	0.0	0.0	0.0	105.0	0.9	18560.5	11811.2	55834.6	81604.4	103079.2	0.0	0.0	0.0	1246.0	10.4	5617.1	2281.7	19327.4	40802.2	103079.2
1.3	0.0	0.0	565.0	4.7	2255.9	402.7	8321.5	9663.7	11811.2	0.0	0.0	0.0	45.0	0.4	6993.3	6174.0	19327.4	27917.3	27917.3	0.0	0.0	0.0	610.0	5.1	2605.4	486.5	8589.9	12348.0	27917.3
1.4	0.0	0.0	303.0	2.5	4703.0	1208.0	13958.6	15032.4	15032.4	0.0	0.0	0.0	16.0	0.1	6479.6	192.9	19327.4	28991.0	28991.0	0.0	0.0	0.0	319.0	2.7	4792.1	872.4	14495.5	15032.4	28991.0
1.5	0.0	0.0	1219.0	10.2	3950.1	771.8	15032.4	25769.8	31138.5	0.0	0.0	0.0	100.0	0.8	16117.7	12884.9	49392.1	73014.4	73014.4	0.0	0.0	0.0	1319.0	11.0	4872.6	1140.9	19327.4	34359.7	73014.4
1.6	0.0	0.0	418.0	3.5	3800.7	1677.7	13958.6	23622.3	27917.3	0.0	0.0	0.0	34.0	0.3	7574.3	4563.4	22548.6	30064.8	30064.8	0.0	0.0	0.0	452.0	3.8	4084.6	1744.8	15569.3	23622.3	30064.8
1.7	0.0	0.0	519.0	4.3	10110.6	2818.6	77309.4	81604.4	85899.3	0.0	0.0	0.0	34.0	0.3	42888.9	9663.7	103079.2	103079.2	103079.2	0.0	0.0	0.0	553.0	4.6	12125.9	2952.8	77309.4	98784.2	103079.2
1.8	0.0	0.0	760.0	6.3	6124.0	3758.1	22548.6	51539.6	60129.5	0.0	0.0	0.0	63.0	0.5	20458.8	13421.8	62277.0	90194.3	94489.3	0.0	0.0	0.0	823.0	6.9	7221.3	3758.1	30064.8	55834.6	94489.3
1.9	0.0	0.0	522.0	4.3	5134.2	335.5	28991.0	32212.3	57982.1	0.0	0.0	0.0	47.0	0.4	16439.1	7247.8	57982.1	60129.5	60129.5	0.0	0.0	0.0	569.0	4.7	6068.0	704.6	31138.5	49392.1	60129.5
2.0	0.0	0.0	1465.0	12.2	3112.3	302.0	17179.9	31138.5	38654.7	0.0	0.0	0.0	144.0	1.2	10671.5	4160.7	38654.7	57982.1	85899.3	0.0	0.0	0.0	1609.0	13.4	3788.8	335.5	19327.4	38654.7	85899.3
