concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
8	0.0	0.0	1189906.0	19831.5	2.9375	2.8125000000000004	4.8875	9.475000000000001	30.2875	0.0	0.0	0.0	62694.0	1044.9	4.05	3.9249999999999994	6.449999999999999	11.875	28.450000000000003	0.0	0.0	0.0	1252600.0	20876.5	2.9875	2.8375	5.074999999999999	9.85	30.425
16	0.0	0.0	1834507.0	30574.7	3.825	3.3375	8.1	15.700000000000001	41.6375	0.0	0.0	0.0	96801.0	1613.2	5.05	4.675000000000001	10.5625	19.275000000000002	41.662499999999994	0.0	0.0	0.0	1931308.0	32187.799999999996	3.8874999999999997	3.3625	8.2125	15.775000000000002	43.99999999999999
16	0.0	0.0	1781561.0	29692.4	3.9625	3.45	8.25	15.512500000000001	40.33749999999999	0.0	0.0	0.0	93423.0	1556.8000000000002	5.2125	4.85	10.875	19.025000000000002	39.862500000000004	0.0	0.0	0.0	1874984.0	31249.300000000003	4.0	3.4625	8.4	15.700000000000001	42.7
20	0.0	0.0	1960688.0	32677.6	4.4875	3.8625	10.1875	18.075	45.05	0.0	0.0	0.0	103016.0	1716.7999999999997	5.75	5.237500000000001	12.224999999999998	20.8625	41.37499999999999	0.0	0.0	0.0	2063704.0	34394.5	4.55	3.8999999999999995	10.5	18.900000000000002	46.099999999999994
24	0.0	0.0	1963981.0	32732.6	5.4125	4.65	13.099999999999998	23.099999999999998	72.35	0.0	0.0	0.0	102990.0	1716.5	6.737500000000001	6.1875	15.200000000000001	25.699999999999996	61.325	0.0	0.0	0.0	2066971.0	34448.8	5.449999999999999	4.7	13.099999999999998	23.099999999999998	74.7125
24	0.0	0.0	1915077.0	31917.3	5.525	4.7	13.099999999999998	23.099999999999998	76.53750000000001	0.0	0.0	0.0	100744.0	1679.0	6.887499999999999	6.299999999999999	15.7125	25.437499999999996	52.6625	0.0	0.0	0.0	2015821.0	33596.3	5.6000000000000005	4.7	13.349999999999998	23.099999999999998	76.53750000000001
24	0.0	0.0	1968153.0	32801.799999999996	5.387499999999999	4.675000000000001	12.599999999999998	22.0	78.91250000000001	0.0	0.0	0.0	103867.0	1730.9	6.762499999999999	6.187499999999999	15.387500000000001	25.574999999999996	50.5625	0.0	0.0	0.0	2072020.0	34532.9	5.449999999999999	4.7	12.849999999999998	22.412499999999998	78.91250000000001
26	0.0	0.0	1937005.0	32282.699999999997	5.9125	5.0	14.200000000000001	24.2375	68.4125	0.0	0.0	0.0	101768.0	1696.0999999999997	7.449999999999999	6.6000000000000005	17.9375	28.575000000000006	52.4	0.0	0.0	0.0	2038773.0	33978.700000000004	6.0	5.125	14.325000000000001	25.062499999999996	68.4125
26	0.0	0.0	1951816.0	32529.5	5.874999999999999	5.0	14.200000000000001	24.787499999999998	69.9875	0.0	0.0	0.0	102716.0	1711.9	7.3	6.6000000000000005	17.175	28.450000000000003	54.237500000000004	0.0	0.0	0.0	2054532.0	34241.6	5.9624999999999995	5.05	14.200000000000001	25.199999999999996	69.9875
27	0.0	0.0	1971830.0	32863.2	6.0625	5.2	14.700000000000001	25.199999999999996	104.33749999999999	0.0	0.0	0.0	103583.0	1726.4	7.4125	6.799999999999999	17.3	27.925000000000004	55.287499999999994	0.0	0.0	0.0	2075413.0	34589.5	6.125000000000001	5.2	14.950000000000001	25.199999999999996	104.33749999999999
28	0.0	0.0	1990749.0	33178.4	6.225	5.2	15.200000000000001	25.949999999999996	84.42500000000001	0.0	0.0	0.0	105013.0	1750.0	7.612500000000001	6.799999999999999	17.9375	28.975000000000005	54.237500000000004	0.0	0.0	0.0	2095762.0	34928.7	6.2875	5.2	15.262500000000001	26.199999999999996	84.42500000000001
28	0.0	0.0	2017909.0	33631.2	6.1375	5.2	15.012500000000001	25.199999999999996	64.475	0.0	0.0	0.0	106133.0	1768.7	7.5375000000000005	6.799999999999999	17.8	28.712500000000002	56.07500000000001	0.0	0.0	0.0	2124042.0	35400.0	6.200000000000001	5.2	15.200000000000001	25.699999999999996	64.475
28	0.0	0.0	1978848.0	32980.0	6.2749999999999995	5.2	15.262500000000001	26.199999999999996	72.35	0.0	0.0	0.0	104109.0	1735.2	7.7125	6.9875	18.35	29.7625	55.55	0.0	0.0	0.0	2082957.0	34715.2	6.312499999999999	5.2749999999999995	15.387500000000001	26.199999999999996	72.35
29	0.0	0.0	1944313.0	32404.399999999998	6.612500000000001	5.5	16.3	28.175000000000004	135.7875	0.0	0.0	0.0	102131.0	1702.2	8.1125	7.1000000000000005	19.900000000000002	31.8875	69.725	0.0	0.0	0.0	2046444.0	34106.6	6.675000000000002	5.5	16.3625	28.300000000000004	135.7875
30	0.0	0.0	1995546.0	33258.3	6.6625000000000005	5.5375	16.4875	27.800000000000004	88.6125	0.0	0.0	0.0	104634.0	1743.7	8.075	7.2749999999999995	19.400000000000002	30.95	62.1125	0.0	0.0	0.0	2100180.0	35002.299999999996	6.7250000000000005	5.65	16.7375	28.175000000000004	88.6125
32	0.0	0.0	1944293.0	32404.199999999997	7.2875	6.0	18.900000000000002	30.400000000000002	136.825	0.0	0.0	0.0	102032.0	1700.4	8.625	7.6375	20.8625	32.6375	71.82499999999999	0.0	0.0	0.0	2046325.0	34104.6	7.362499999999999	6.0	18.900000000000002	30.400000000000002	136.825
40	0.0	0.0	1927160.0	32118.3	9.237499999999999	7.299999999999999	25.199999999999996	41.9	198.16250000000002	0.0	0.0	0.0	101810.0	1696.7	10.5	9.025	27.287500000000005	43.474999999999994	100.6875	0.0	0.0	0.0	2028970.0	33814.9	9.275	7.299999999999999	25.199999999999996	41.9	198.16250000000002
48	0.0	0.0	1619839.0	26996.4	13.174999999999999	9.4	39.800000000000004	72.35	277.85	0.0	0.0	0.0	85795.0	1429.8	14.6375	11.125	42.949999999999996	69.72500000000001	157.2875	0.0	0.0	0.0	1705634.0	28426.499999999996	13.25	9.4	39.800000000000004	72.35	277.85
56	0.0	0.0	1740745.0	29011.299999999996	14.350000000000001	10.5	41.9	79.7	299.87500000000006	0.0	0.0	0.0	91498.0	1524.9999999999998	15.475000000000001	12.537499999999998	44.2625	72.35	179.3125	0.0	0.0	0.0	1832243.0	30536.1	14.412500000000001	10.5	41.9	79.7	299.87500000000006
64	0.0	0.0	1453880.0	24230.100000000002	19.625	11.5	70.775	130.0	440.41249999999997	0.0	0.0	0.0	76921.0	1282.0	20.075	14.200000000000001	66.05000000000001	105.94999999999999	212.85000000000002	0.0	0.0	0.0	1530801.0	25512.000000000004	19.65	11.725	70.775	128.425	440.41249999999997
