concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
8	0.0	0.0	496605.0	8276.699999999999	3.325	3.15	5.425	7.375	20.7	0.0	0.0	0.0	25858.0	431.0	4.625	4.7	7.375	10.0	24.4	0.0	0.0	0.0	522463.0	8707.699999999999	3.4	3.25	5.7250000000000005	7.675000000000001	24.4
8	0.0	0.0	402193.0	6703.1	4.125	4.05	6.3	8.1	34.35	0.0	0.0	0.0	21317.0	355.2	5.9	5.8	8.4	10.25	31.75	0.0	0.0	0.0	423510.0	7058.5	4.225	4.1	6.65	8.4	34.875
10	0.0	0.0	538989.0	8983.0	3.8499999999999996	3.55	7.025	9.4	31.225	0.0	0.0	0.0	28494.0	474.9	4.925000000000001	5.0	7.675000000000001	10.625	26.725	0.0	0.0	0.0	567483.0	9457.8	3.9	3.6500000000000004	7.1	9.4	31.225
10	0.0	0.0	468295.0	7804.9	4.475	4.425	7.15	9.4	33.575	0.0	0.0	0.0	24572.0	409.5	6.475	6.3	9.4	11.8	31.474999999999998	0.0	0.0	0.0	492867.0	8214.3	4.574999999999999	4.5	7.45	9.4	34.375
11	0.0	0.0	601165.0	10019.2	3.75	3.55	6.6	9.4	28.849999999999998	0.0	0.0	0.0	31955.0	532.7	5.325	5.2	8.4	11.825	28.325	0.0	0.0	0.0	633120.0	10551.9	3.825	3.6500000000000004	6.8	9.4	29.374999999999996
12	0.0	0.0	608863.0	10147.5	4.1	3.8	7.6	10.5	27.775	0.0	0.0	0.0	32020.0	533.6999999999999	5.4	5.2749999999999995	8.9	12.725	39.824999999999996	0.0	0.0	0.0	640883.0	10681.199999999999	4.1499999999999995	3.85	7.674999999999999	10.625	39.824999999999996
12	0.0	0.0	602335.0	10038.8	4.15	3.825	7.675000000000001	10.5	30.175	0.0	0.0	0.0	31522.0	525.3	5.425000000000001	5.425	8.775	12.6	30.15	0.0	0.0	0.0	633857.0	10564.099999999999	4.2	3.9	7.75	10.625	31.475
12	0.0	0.0	605057.0	10084.1	4.1	3.825	7.675000000000001	10.625	32.5	0.0	0.0	0.0	31915.0	531.8	5.55	5.35	8.9	14.7	52.925000000000004	0.0	0.0	0.0	636972.0	10616.0	4.199999999999999	3.8499999999999996	7.675000000000001	11.0	52.925000000000004
13	0.0	0.0	630859.0	10514.1	4.25	3.925	8.05	11.5	30.700000000000003	0.0	0.0	0.0	32856.0	547.5	6.475	6.0	10.875	27.55	60.275000000000006	0.0	0.0	0.0	663715.0	11061.800000000001	4.35	4.05	8.25	12.1	60.275000000000006
14	0.0	0.0	578748.0	9645.8	5.05	4.7	9.4	12.225	45.05	0.0	0.0	0.0	30115.0	501.9	8.025	7.1	15.725000000000001	30.424999999999997	60.8	0.0	0.0	0.0	608863.0	10147.6	5.2	4.7	9.7	13.1	61.85
16	0.0	0.0	544585.0	9076.4	5.949999999999999	5.1	12.6	15.2	136.325	0.0	0.0	0.0	28477.0	474.6	13.55	8.0	47.150000000000006	69.19999999999999	104.875	0.0	0.0	0.0	573062.0	9550.900000000001	6.3500000000000005	5.2	13.1	21.0	141.575
20	0.0	0.0	273086.0	4551.3	11.825	12.1	21.0	25.45	436.225	0.0	0.0	0.0	14203.0	236.6	103.00000000000001	108.05000000000001	176.2	197.10000000000002	444.59999999999997	0.0	0.0	0.0	287289.0	4788.1	16.325	12.225	29.9	144.7	469.77500000000003
24	0.0	0.0	311955.0	5199.1	12.375	12.6	21.0	26.2	448.8	0.0	0.0	0.0	16258.0	271.0	109.4	113.2	176.2	201.3	440.40000000000003	0.0	0.0	0.0	328213.0	5470.0	17.174999999999997	12.6	35.400000000000006	151.0	478.15
28	0.0	0.0	258639.0	4310.6	14.125	12.6	26.475	37.2	805.3	0.0	0.0	0.0	13589.0	226.4	216.2	224.4	306.2	335.5	897.6	0.0	0.0	0.0	272228.0	4537.1	24.275000000000002	13.1	118.44999999999999	285.2	897.6
32	0.0	0.0	287783.0	4796.2	14.45	13.1	25.2	35.150000000000006	838.8499999999999	0.0	0.0	0.0	15059.0	250.9	225.0	230.7	302.0	335.5	914.375	0.0	0.0	0.0	302842.0	5047.2	24.975	13.225	144.70000000000002	285.2	914.375
36	0.0	0.0	248519.0	4141.9	16.05	12.6	28.825	45.575	1241.55	0.0	0.0	0.0	13029.0	217.0	346.425	352.3	436.2	486.5	1711.2500000000002	0.0	0.0	0.0	261548.0	4359.0	32.525	12.975	270.5	402.7	1711.2500000000002
40	0.0	0.0	261572.0	4359.5	21.375	19.9	41.9	57.65	1358.975	0.0	0.0	0.0	13709.0	228.5	282.275	310.4	444.6	494.9	1266.7	0.0	0.0	0.0	275281.0	4587.9	34.375	19.9	87.05	394.29999999999995	1526.725
44	0.0	0.0	236426.0	3940.2000000000003	18.725	12.6	31.2	55.025	1811.9249999999997	0.0	0.0	0.0	12332.0	205.6	486.275	486.5	604.0	671.1	2080.3999999999996	0.0	0.0	0.0	248758.0	4145.7	41.9	13.1	394.29999999999995	570.4	2097.1749999999997
48	0.0	0.0	238746.0	3978.9	20.025	12.6	31.75	59.75	2382.375	0.0	0.0	0.0	12428.0	207.1	529.675	536.9	637.5	704.6	2348.7999999999997	0.0	0.0	0.0	251174.0	4186.099999999999	45.25	13.1	436.2	604.0	2650.7999999999997
52	0.0	0.0	230623.0	3843.6	22.050000000000004	12.6	35.400000000000006	76.55	2483.05	0.0	0.0	0.0	12121.0	202.00000000000003	596.35	604.0	704.6	771.8	2952.7749999999996	0.0	0.0	0.0	242744.0	4045.5000000000005	50.725	12.975	520.1	671.1	2952.7749999999996
56	0.0	0.0	232266.0	3870.9	23.400000000000002	12.85	37.225	81.80000000000001	2617.225	0.0	0.0	0.0	12126.0	202.1	644.7	671.1	771.8	805.3	2751.45	0.0	0.0	0.0	244392.0	4073.1000000000004	54.24999999999999	13.1	570.4	738.2	2852.125
60	0.0	0.0	227392.0	3789.7000000000003	25.6	12.6	38.75	114.29999999999998	2885.675	0.0	0.0	0.0	11835.0	197.3	706.125	704.6	838.9	914.375	3690.975	0.0	0.0	0.0	239227.0	3987.0	59.3	13.1	620.75	805.3	3690.975
64	0.0	0.0	228574.0	3809.4	27.225	12.85	41.375	168.825	3288.325	0.0	0.0	0.0	11896.0	198.20000000000002	748.3	738.2	872.4	964.675	3422.575	0.0	0.0	0.0	240470.0	4007.7	62.87500000000001	13.225	671.1	838.9	3657.45
