skew	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
1.09	0.0	0.0	36626.0	2154.2	3.1	2.9	5.2	11.0	25.2	0.0	0.0	0.0	4050.0	238.2	4.6	4.7	6.8	12.6	24.1	0.0	0.0	0.0	40676.0	2392.5	3.2	3.0	5.8	11.0	25.2
1.19	0.0	0.0	33891.0	1993.5	3.3	2.9	7.1	15.2	39.8	0.0	0.0	0.0	3735.0	219.7	5.2	5.0	7.9	19.9	44.0	0.0	0.0	0.0	37626.0	2213.2	3.5	3.0	7.1	15.2	44.0
1.31	0.0	0.0	31848.0	1873.3	3.6	3.0	9.4	14.2	32.5	0.0	0.0	0.0	3561.0	209.5	5.0	4.7	11.5	19.9	46.1	0.0	0.0	0.0	35409.0	2082.8	3.7	3.1	9.4	14.7	46.1
1.39	0.0	0.0	29585.0	1740.1	3.8	3.1	11.0	15.2	32.5	0.0	0.0	0.0	3217.0	189.2	5.6	5.0	13.1	23.1	79.7	0.0	0.0	0.0	32802.0	1929.4	4.0	3.3	11.0	15.7	79.7
1.5	0.0	0.0	30133.0	1772.4	3.8	3.0	11.0	15.7	41.9	0.0	0.0	0.0	3357.0	197.5	5.0	4.1	13.1	26.2	62.9	0.0	0.0	0.0	33490.0	1969.9	3.9	3.1	11.0	16.3	62.9
1.6	0.0	0.0	26648.0	1567.5	4.3	3.0	13.6	19.9	83.9	0.0	0.0	0.0	2912.0	171.3	6.0	4.7	15.7	28.3	92.3	0.0	0.0	0.0	29560.0	1738.8	4.5	3.1	13.6	19.9	92.3
1.7	0.0	0.0	25033.0	1472.4	4.6	3.1	14.2	21.0	46.1	0.0	0.0	0.0	2763.0	162.5	6.5	4.7	18.9	35.7	96.5	0.0	0.0	0.0	27796.0	1634.9	4.8	3.3	14.2	22.0	96.5
1.8	0.0	0.0	22884.0	1346.1	5.0	3.3	15.2	22.0	56.6	0.0	0.0	0.0	2545.0	149.7	7.1	5.0	19.9	39.8	83.9	0.0	0.0	0.0	25429.0	1495.8	5.2	3.4	15.7	23.1	83.9
1.9	0.0	0.0	19988.0	1175.7	5.7	3.4	16.8	25.2	192.9	0.0	0.0	0.0	2243.0	131.9	8.0	5.5	22.0	41.9	88.1	0.0	0.0	0.0	22231.0	1307.6	6.0	3.7	17.8	26.2	192.9
2.0	0.0	0.0	22632.0	1331.3	5.1	3.3	15.2	21.0	48.2	0.0	0.0	0.0	2401.0	141.2	7.3	5.0	22.0	41.9	130.0	0.0	0.0	0.0	25033.0	1472.5	5.3	3.4	15.2	23.1	130.0
