skew	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
0	0.0	0.0	1901486.0	31689.6	7.475	6.3	18.9	31.5	125.8	0.0	0.0	0.0	100498.0	1674.9	9.025	7.824999999999999	22.549999999999997	35.7	88.1	0.0	0.0	0.0	2001984.0	33364.5	7.525	6.3	18.9	31.5	125.8
0.1	0.0	0.0	1953370.0	32555.199999999997	7.275	6.0	18.9	29.9	77.6	0.0	0.0	0.0	103470.0	1724.4	8.674999999999999	7.9	21.0	32.5	69.2	0.0	0.0	0.0	2056840.0	34279.8	7.324999999999999	6.0	18.9	30.4	77.6
0.2	0.0	0.0	1962418.0	32706.199999999997	7.225	6.0	18.075	29.9	119.52499999999999	0.0	0.0	0.0	103267.0	1721.0	8.625	7.675000000000001	21.0	33.05	78.65	0.0	0.0	0.0	2065685.0	34427.2	7.3	6.0	18.625	30.4	119.52499999999999
0.3	0.0	0.0	1901039.0	31683.100000000002	7.5	6.3	18.9	31.5	157.3	0.0	0.0	0.0	100186.0	1669.6999999999998	8.9	7.9	22.0	35.7	78.64999999999999	0.0	0.0	0.0	2001225.0	33352.9	7.5	6.3	18.9	31.5	157.3
0.4	0.0	0.0	2000369.0	33338.100000000006	7.1	6.0	17.8	29.4	139.45	0.0	0.0	0.0	104983.0	1749.6000000000001	8.475	7.675000000000001	19.9	32.25	63.425	0.0	0.0	0.0	2105352.0	35087.7	7.2	6.0	17.8	29.4	139.45
0.5	0.0	0.0	1996350.0	33271.3	7.1	6.0	17.8	29.4	80.75	0.0	0.0	0.0	105116.0	1751.8999999999999	8.5	7.675000000000001	19.9	32.0	70.25	0.0	0.0	0.0	2101466.0	35023.200000000004	7.2	6.0	17.8	29.4	80.75
0.6	0.0	0.0	1954694.0	32577.0	7.3	6.0	18.9	30.4	145.75	0.0	0.0	0.0	102914.0	1715.1	8.625	7.825000000000001	20.45	32.775	83.375	0.0	0.0	0.0	2057608.0	34292.2	7.3	6.0	18.9	30.4	145.75
0.7	0.0	0.0	1921262.0	32020.0	7.4	6.0	18.9	31.5	163.60000000000002	0.0	0.0	0.0	101249.0	1687.4	8.8	7.75	21.25	34.125	78.65	0.0	0.0	0.0	2022511.0	33707.4	7.45	6.3	18.9	31.5	163.60000000000002
0.8	0.0	0.0	1741604.0	29025.8	8.149999999999999	6.7	21.0	35.7	137.35	0.0	0.0	0.0	91385.0	1522.9999999999998	9.649999999999999	8.1	24.650000000000002	38.75	99.625	0.0	0.0	0.0	1832989.0	30548.8	8.2	6.8	21.75	35.7	137.35
0.9	0.0	0.0	1906358.0	31771.3	7.425000000000001	6.0	19.9	30.4	89.15	0.0	0.0	0.0	100500.0	1674.9	9.0	7.75	22.55	37.7	268.425	0.0	0.0	0.0	2006858.0	33446.200000000004	7.5	6.0	19.9	31.5	268.425
0.99	0.0	0.0	1490895.0	24847.4	9.2	5.2	24.1	109.1	201.3	0.0	0.0	0.0	78462.0	1307.6	18.7	6.8	28.575	352.3	3053.4500000000003	0.0	0.0	0.0	1569357.0	26155.0	9.649999999999999	5.2	24.1	113.2	3053.4500000000003
1.1	0.0	0.0	1104081.0	18400.699999999997	12.05	3.3	116.35	167.8	234.9	0.0	0.0	0.0	58225.0	970.4000000000001	32.650000000000006	4.5	157.3	771.7750000000001	2852.1000000000004	0.0	0.0	0.0	1162306.0	19371.300000000003	13.075	3.4	117.4	167.8	2852.1000000000004
1.2	0.0	0.0	854163.0	14235.400000000001	15.875	3.25	148.9	178.27499999999998	262.125	0.0	0.0	0.0	45246.0	754.1	36.825	4.275	257.925	696.225	3019.9	0.0	0.0	0.0	899409.0	14989.5	16.924999999999997	3.3	151.0	184.5	3019.9
1.3	0.0	0.0	644565.0	10742.2	21.1	3.3	159.4	192.9	293.59999999999997	0.0	0.0	0.0	33941.0	565.6	48.35000000000001	4.35	343.9	805.325	2063.5750000000003	0.0	0.0	0.0	678506.0	11307.9	22.45	3.325	167.8	199.2	2063.5750000000003
1.34	0.0	0.0	604300.0	10071.2	22.6	3.375	159.4	184.5	310.4	0.0	0.0	0.0	31580.0	526.3	50.325	4.5	343.9	813.7249999999999	2264.95	0.0	0.0	0.0	635880.0	10597.5	23.950000000000003	3.4	159.4	192.9	2264.95
1.5	0.0	0.0	434282.0	7237.700000000001	31.35	3.5	178.27499999999998	209.7	335.525	0.0	0.0	0.0	22871.0	381.2	71.55	4.55	478.15	931.15	2248.125	0.0	0.0	0.0	457153.0	7619.0	33.375	3.55	184.5	218.1	2248.125
1.6	0.0	0.0	334201.0	5569.799999999999	39.675	3.875	192.9	218.1	360.70000000000005	0.0	0.0	0.0	17416.0	290.1	114.625	4.7	704.6	1358.975	3422.5499999999997	0.0	0.0	0.0	351617.0	5860.000000000001	43.4	3.9	192.9	234.9	3422.5499999999997
1.7	0.0	0.0	343062.0	5717.6	39.3	3.85	186.6	211.79999999999998	385.875	0.0	0.0	0.0	18255.0	304.2	95.75	4.85	549.45	1115.7250000000001	2986.3500000000004	0.0	0.0	0.0	361317.0	6021.700000000001	42.125	3.875	192.9	232.79999999999998	2986.3500000000004
1.8	0.0	0.0	314431.0	5240.3	42.675	3.9	192.9	226.5	448.775	0.0	0.0	0.0	16567.0	276.1	108.55	4.7	620.75	1174.45	2785.025	0.0	0.0	0.0	330998.0	5516.400000000001	45.974999999999994	3.9	199.2	257.95	2785.025
1.9	0.0	0.0	249256.0	4154.2	53.425	4.2	201.3	226.5	411.04999999999995	0.0	0.0	0.0	13125.0	218.7	148.75	5.1	813.725	1409.3000000000002	3187.6749999999997	0.0	0.0	0.0	262381.0	4372.9	58.15	4.5	201.3	297.8	3187.6749999999997
2.0	0.0	0.0	221564.0	3692.6000000000004	60.075	4.85	209.7	239.1	427.82500000000005	0.0	0.0	0.0	11748.0	195.8	166.1	5.8	847.25	1509.9499999999998	3422.5499999999997	0.0	0.0	0.0	233312.0	3888.3999999999996	65.375	5.0	209.7	343.925	3422.5499999999997
