skew	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
0	0.0	0.0	251795.0	4196.4	49.825	59.224999999999994	96.5	116.35000000000001	241.15	0.0	0.0	0.0	13135.0	218.9	63.900000000000006	73.4	113.2	122.65	155.2	0.0	0.0	0.0	264930.0	4415.3	50.55	60.27499999999999	100.7	117.4	241.15
0.2	0.0	0.0	457360.0	7622.3	27.425000000000004	6.45	83.9	101.75	205.525	0.0	0.0	0.0	24043.0	400.70000000000005	34.025000000000006	7.275	100.7	113.2	146.8	0.0	0.0	0.0	481403.0	8023.200000000001	27.724999999999998	6.525	88.1	104.9	205.525
0.3	0.0	0.0	523732.0	8728.599999999999	23.95	5.0	83.9	96.5	239.05	0.0	0.0	0.0	27372.0	456.09999999999997	29.549999999999997	6.075	96.5	109.1	146.8	0.0	0.0	0.0	551104.0	9184.7	24.2	5.1	83.9	99.64999999999999	239.05
0.4	0.0	0.0	498723.0	8311.7	25.075	5.2	83.9	100.7	226.5	0.0	0.0	0.0	26495.0	441.6	31.5	6.375	96.5	111.14999999999999	144.70000000000002	0.0	0.0	0.0	525218.0	8753.3	25.424999999999997	5.425	83.9	100.7	226.5
0.6	0.0	0.0	542009.0	9033.1	23.125	5.0	79.7	96.5	352.29999999999995	0.0	0.0	0.0	28445.0	474.0	29.200000000000003	6.2250000000000005	96.5	110.12499999999999	142.6	0.0	0.0	0.0	570454.0	9507.099999999999	23.4	5.1	82.85	98.6	352.29999999999995
0.7	0.0	0.0	503801.0	8396.400000000001	24.875	5.275	83.9	100.7	780.15	0.0	0.0	0.0	26789.0	446.5	30.724999999999998	6.45	96.5	112.175	771.75	0.0	0.0	0.0	530590.0	8842.8	25.150000000000002	5.5	83.9	100.7	889.2
0.8	0.0	0.0	826053.0	13767.0	15.075	4.7	62.9	88.1	1115.725	0.0	0.0	0.0	43323.0	722.0	19.724999999999998	6.15	75.5	102.8	2197.7999999999997	0.0	0.0	0.0	869376.0	14489.0	15.3	4.7	62.9	88.1	2197.7999999999997
0.99	0.0	0.0	696062.0	11600.599999999999	17.95	4.6	75.5	92.3	578.8	0.0	0.0	0.0	36489.0	608.1	22.300000000000004	5.8	88.1	104.9	603.95	0.0	0.0	0.0	732551.0	12208.699999999999	18.174999999999997	4.7	75.5	92.3	629.125
1.1	0.0	0.0	1071392.0	17855.9	11.2	3.4	92.3	151.0	253.77499999999998	0.0	0.0	0.0	56397.0	940.0	22.200000000000003	4.5	119.5	482.34999999999997	1711.275	0.0	0.0	0.0	1127789.0	18795.8	11.75	3.45	93.35000000000001	151.0	1711.275
1.2	0.0	0.0	754521.0	12574.900000000001	15.924999999999999	3.55	126.85000000000001	167.8	270.5	0.0	0.0	0.0	39617.0	660.2	32.224999999999994	4.7	209.7	612.35	1946.15	0.0	0.0	0.0	794138.0	13235.199999999999	16.725	3.6500000000000004	130.0	167.8	1946.15
1.3	0.0	0.0	559393.0	9322.9	21.425	3.7249999999999996	151.0	176.2	331.325	0.0	0.0	0.0	29538.0	492.29999999999995	44.599999999999994	4.7	306.2	713.0	1946.15	0.0	0.0	0.0	588931.0	9815.2	22.575	3.7750000000000004	151.0	184.5	1946.15
1.5	0.0	0.0	367603.0	6126.5	32.425	4.0	176.2	201.3	385.84999999999997	0.0	0.0	0.0	19434.0	323.8	71.95	5.0	465.6	922.75	1912.625	0.0	0.0	0.0	387037.0	6450.299999999999	34.400000000000006	4.1	176.2	209.7	1912.625
1.6	0.0	0.0	326518.0	5441.7	36.7	4.15	176.2	201.3	360.7	0.0	0.0	0.0	17168.0	286.1	78.975	5.05	490.72499999999997	914.375	2399.15	0.0	0.0	0.0	343686.0	5727.799999999999	38.800000000000004	4.2	176.2	216.0	2399.15
1.7	0.0	0.0	294156.0	4902.4	40.425	4.175	184.5	209.7	360.7	0.0	0.0	0.0	15223.0	253.7	93.725	5.2	536.9	1073.75	1996.5	0.0	0.0	0.0	309379.0	5156.1	43.075	4.2749999999999995	184.5	234.9	1996.5
1.9	0.0	0.0	247205.0	4119.9	48.325	4.55	184.5	218.1	415.25	0.0	0.0	0.0	13098.0	218.20000000000002	106.25	5.2	570.4	1065.3500000000001	2315.275	0.0	0.0	0.0	260303.0	4338.3	51.225	4.7	190.79999999999998	251.675	2315.275
2.0	0.0	0.0	227309.0	3788.2999999999997	52.275	4.7	197.1	228.6	444.6	0.0	0.0	0.0	11992.0	199.89999999999998	120.35	5.5	654.3	1115.725	2684.3500000000004	0.0	0.0	0.0	239301.0	3988.1000000000004	55.699999999999996	4.925	201.3	285.2	2684.3500000000004
