skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	36680	21	0.265434	2	region=tokyo	{2}	{region=tokyo}
0.1	0	43980	22	0.426908	1	region=london	{1}	{region=london}
0.2	0	17990	21	0.28053	2	region=newyork	{2}	{region=newyork}
0.3	0	8044	21	0.222657	1	region=london	{1}	{region=london}
0.4	0	5013	21	0.250021	1	region=london	{1}	{region=london}
0.5	0	2900	21	0.315874	2	region=tokyo	{2}	{region=tokyo}
0.6	0	820	21	0.317034	1	region=london	{1}	{region=london}
0.7	0	134	21	0.314834	1	region=london	{1}	{region=london}
0.8	0	4	21	0.16662	2	region=tokyo	{2}	{region=tokyo}
0.9	0	1	21	0.158565	3	region=tokyo	{3}	{region=tokyo}
0.99	0	1	21	0.262525	2	region=tokyo	{2}	{region=tokyo}
1.1	0	1	21	0.401745	1	region=london	{1}	{region=london}
1.2	0	1	21	0.415905	3	region=newyork	{3}	{region=newyork}
1.3	0	1	21	0.475945	1	region=london	{1}	{region=london}
1.4	0	2	21	0.65527	2	region=tokyo	{2}	{region=tokyo}
1.5	0	1	21	0.486385	1	region=london	{1}	{region=london}
1.6	0	1	21	0.481365	1	region=london	{1}	{region=london}
1.7	0	1	21	0.397785	3	region=newyork	{3}	{region=newyork}
1.8	0	1	21	0.396145	3	region=newyork	{3}	{region=newyork}
1.9	0	1	21	0.481225	3	region=tokyo	{3}	{region=tokyo}
2.0	0	0	23	0.631833	3	region=newyork	{3}	{region=newyork}
