skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	48755	21	0.355764	3	region=newyork	{3}	{region=newyork}
0.1	0	39349	21	0.38508	2	region=tokyo	{2}	{region=tokyo}
0.2	0	31846	21	0.431222	1	region=london	{1}	{region=london}
0.3	0	13786	21	0.339216	3	region=newyork	{3}	{region=newyork}
0.4	0	8493	21	0.36636	2	region=tokyo	{2}	{region=tokyo}
0.5	0	3142	21	0.327109	3	region=tokyo	{3}	{region=tokyo}
0.6	0	873	21	0.325865	2	region=tokyo	{2}	{region=tokyo}
0.7	0	25	21	0.175145	2	region=newyork	{2}	{region=newyork}
0.8	0	4	21	0.1664	1	region=london	{1}	{region=london}
0.9	0	1	21	0.156825	3	region=tokyo	{3}	{region=tokyo}
0.99	0	1	21	0.276825	3	region=newyork	{3}	{region=newyork}
1.1	0	1	21	0.396825	1	region=london	{1}	{region=london}
1.2	0	1	21	0.449825	2	region=tokyo	{2}	{region=tokyo}
1.3	0	1	21	0.461185	2	region=tokyo	{2}	{region=tokyo}
1.4	0	2	21	0.65133	1	region=london	{1}	{region=london}
1.5	0	1	21	0.396905	3	region=newyork	{3}	{region=newyork}
1.6	0	1	21	0.481385	2	region=tokyo	{2}	{region=tokyo}
1.7	0	1	21	0.408585	3	region=newyork	{3}	{region=newyork}
1.8	0	1	21	0.400885	3	region=newyork	{3}	{region=newyork}
1.9	0	1	21	0.472605	2	region=tokyo	{2}	{region=tokyo}
2.0	0	1	21	0.388865	2	region=newyork	{2}	{region=newyork}
