skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	31876	21	0.23374	3	region=newyork	{3}	{region=newyork}
0.1	0	40461	21	0.374095	2	region=newyork	{2}	{region=newyork}
0.2	0	26741	21	0.395983	2	region=tokyo	{2}	{region=tokyo}
0.3	0	8160	21	0.232992	1	region=london	{1}	{region=london}
0.4	0	7985	21	0.364389	2	region=newyork	{2}	{region=newyork}
0.5	0	1123	21	0.192359	2	region=tokyo	{2}	{region=tokyo}
0.6	0	513	21	0.262885	2	region=newyork	{2}	{region=newyork}
0.7	0	139	21	0.316464	2	region=tokyo	{2}	{region=tokyo}
0.8	0	15	21	0.311315	1	region=london	{1}	{region=london}
0.9	0	1	21	0.156045	1	region=london	{1}	{region=london}
0.99	0	1	21	0.282485	2	region=tokyo	{2}	{region=tokyo}
1.1	0	1	21	0.413085	3	region=tokyo	{3}	{region=tokyo}
1.2	0	1	21	0.433125	3	region=newyork	{3}	{region=newyork}
1.3	0	2	21	0.61701	3	region=newyork	{3}	{region=newyork}
1.4	0	1	21	0.494305	1	region=london	{1}	{region=london}
1.5	0	1	21	0.444965	2	region=newyork	{2}	{region=newyork}
1.6	0	1	21	0.451605	3	region=newyork	{3}	{region=newyork}
1.7	0	1	21	0.443205	2	region=newyork	{2}	{region=newyork}
1.8	0	1	21	0.433785	2	region=newyork	{2}	{region=newyork}
1.9	0	1	21	0.510885	1	region=london	{1}	{region=london}
2.0	0	1	21	0.434365	3	region=newyork	{3}	{region=newyork}
