skew	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
1.11	0.0	0.0	1492902.0	12440.7	5.8	3.1	18.9	65.0	234.85	0.0	0.0	0.0	166454.0	1387.1	11.2	4.1	16.0	222.3	1711.25	0.0	0.0	0.0	1659356.0	13827.8	6.35	3.1	18.9	71.3	1711.25
1.21	0.0	0.0	855945.0	7132.7	9.9	3.3	71.3	92.3	201.3	0.0	0.0	0.0	95230.0	793.6	21.95	4.2	134.2	419.4	2281.7	0.0	0.0	0.0	951175.0	7926.4	11.1	3.4	71.3	96.5	2281.7
1.31	0.0	0.0	605572.0	5046.4	13.95	3.3499999999999996	88.1	104.9	226.5	0.0	0.0	0.0	66893.0	557.4000000000001	32.2	4.35	209.7	570.4	1845.45	0.0	0.0	0.0	672465.0	5603.799999999999	15.75	3.45	88.1	117.4	1845.45
1.4	0.0	0.0	487190.0	4059.8999999999996	17.2	3.5	92.3	113.2	243.25	0.0	0.0	0.0	54186.0	451.5	41.2	4.5	285.2	637.5	2080.35	0.0	0.0	0.0	541376.0	4511.4	19.6	3.7	96.5	146.8	2080.35
1.5	0.0	0.0	426919.0	3557.6000000000004	19.7	3.6	96.5	113.2	255.85	0.0	0.0	0.0	47434.0	395.3	46.6	4.5	302.0	654.3	2550.15	0.0	0.0	0.0	474353.0	3952.9	22.4	3.75	96.5	167.8	2550.15
1.6	0.0	0.0	367861.0	3065.5	22.75	3.75	100.7	121.6	285.2	0.0	0.0	0.0	40641.0	338.70000000000005	55.7	4.7	352.3	738.2	2248.15	0.0	0.0	0.0	408502.0	3404.1	26.0	3.8499999999999996	104.9	188.7	2248.15
1.7	0.0	0.0	326092.0	2717.4	25.45	3.8499999999999996	104.9	125.8	268.45	0.0	0.0	0.0	36010.0	300.1	64.6	4.7	377.5	771.8	2415.8999999999996	0.0	0.0	0.0	362102.0	3017.5	29.35	4.0	109.1	218.1	2415.8999999999996
1.8	0.0	0.0	291948.0	2432.9	28.200000000000003	4.1	109.1	134.2	327.15	0.0	0.0	0.0	32651.0	272.1	73.5	4.85	427.79999999999995	855.65	2248.15	0.0	0.0	0.0	324599.0	2704.9	32.8	4.2	113.2	255.85	2248.15
1.9	0.0	0.0	270880.0	2257.3	30.65	4.15	109.1	132.1	293.6	0.0	0.0	0.0	30527.0	254.4	76.9	4.85	427.79999999999995	805.3	2415.9	0.0	0.0	0.0	301407.0	2511.7	35.3	4.35	115.30000000000001	276.79999999999995	2415.9
2.0	0.0	0.0	245601.0	2046.6999999999998	33.849999999999994	4.5	117.4	142.6	436.2	0.0	0.0	0.0	27602.0	230.0	84.69999999999999	5.0	453.0	872.4	2684.35	0.0	0.0	0.0	273203.0	2276.6	39.0	4.6	121.6	302.0	2684.35
