concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
16	0.0	0.0	1193415.0	19889.9	2.9	2.8	5.0	9.4	28.075	0.0	0.0	0.0	63339.0	1055.6000000000001	4.05	3.9	6.6	11.8	27.275	0.0	0.0	0.0	1256754.0	20945.5	3.0	2.8	5.2	9.4	28.599999999999998
24	0.0	0.0	1493963.0	24899.0	3.5	3.1999999999999997	6.699999999999999	12.725	37.2	0.0	0.0	0.0	78793.0	1313.1	4.8	4.5	8.9	15.575	33.325	0.0	0.0	0.0	1572756.0	26212.199999999997	3.575	3.2499999999999996	6.8	13.1	37.2
32	0.0	0.0	1711657.0	28526.8	4.1	3.6500000000000004	8.9	15.7	46.625	0.0	0.0	0.0	90341.0	1505.6	5.4	5.0	11.0	18.625	41.949999999999996	0.0	0.0	0.0	1801998.0	30032.5	4.175	3.7	8.9	16.3	47.675
40	0.0	0.0	1884352.0	31405.1	4.675000000000001	4.1	10.5	18.9	68.15	0.0	0.0	0.0	99635.0	1660.5	5.975	5.5	12.475	21.25	47.675	0.0	0.0	0.0	1983987.0	33065.6	4.75	4.1	10.5	18.9	68.15
48	0.0	0.0	1957142.0	32617.8	5.4	4.7	12.6	22.0	53.974999999999994	0.0	0.0	0.0	103423.0	1723.6	6.7749999999999995	6.3	14.7	24.1	47.15	0.0	0.0	0.0	2060565.0	34341.4	5.475	4.7	12.725	22.0	53.974999999999994
48	0.0	0.0	1968104.0	32800.8	5.4	4.7	12.6	22.0	79.7	0.0	0.0	0.0	103993.0	1733.1000000000001	6.725	6.0	14.95	24.925	49.775	0.0	0.0	0.0	2072097.0	34534.100000000006	5.449999999999999	4.7	12.6	22.0	79.7
52	0.0	0.0	1988287.0	33137.4	5.7749999999999995	5.0	13.6	23.85	125.82499999999999	0.0	0.0	0.0	104351.0	1739.1	7.15	6.6	16.425	26.75	59.225	0.0	0.0	0.0	2092638.0	34876.600000000006	5.8500000000000005	5.0	13.75	24.1	125.82499999999999
52	0.0	0.0	1948743.0	32477.9	5.9	5.0	14.05	24.1	92.3	0.0	0.0	0.0	102512.0	1708.4	7.2749999999999995	6.65	16.3	26.75	53.975	0.0	0.0	0.0	2051255.0	34186.5	5.975	5.1499999999999995	14.2	24.1	92.3
54	0.0	0.0	1955400.0	32588.7	6.1	5.2	14.575	24.925	73.4	0.0	0.0	0.0	102846.0	1714.1000000000001	7.6	6.8	17.8	28.575	65.525	0.0	0.0	0.0	2058246.0	34302.7	6.175	5.2	14.7	25.2	74.44999999999999
54	0.0	0.0	1935901.0	32263.9	6.2	5.2	15.2	25.2	59.225	0.0	0.0	0.0	102257.0	1704.1999999999998	7.550000000000001	7.025	17.3	27.8	58.175000000000004	0.0	0.0	0.0	2038158.0	33968.2	6.225	5.2	15.2	25.2	60.275
55	0.0	0.0	1975104.0	32917.6	6.175000000000001	5.2	14.7	25.2	115.35	0.0	0.0	0.0	104435.0	1740.6	7.525	6.949999999999999	17.55	27.8	69.2	0.0	0.0	0.0	2079539.0	34658.1	6.2	5.2	15.075	25.2	115.35
56	0.0	0.0	1991323.0	33187.600000000006	6.225	5.2	15.2	25.95	101.69999999999999	0.0	0.0	0.0	104443.0	1740.6	7.525	6.8	17.55	28.3	58.7	0.0	0.0	0.0	2095766.0	34928.2	6.3	5.2	15.2	26.2	101.69999999999999
56	0.0	0.0	1966444.0	32773.100000000006	6.3	5.2749999999999995	15.2	26.2	101.75	0.0	0.0	0.0	103899.0	1731.6	7.7749999999999995	6.875	18.9	30.15	64.475	0.0	0.0	0.0	2070343.0	34504.8	6.4	5.425	15.325	26.2	101.75
56	0.0	0.0	1977407.0	32955.899999999994	6.3	5.2	15.2	25.7	88.10000000000001	0.0	0.0	0.0	104178.0	1736.3	7.7	6.8	18.35	29.125	61.325	0.0	0.0	0.0	2081585.0	34692.1	6.324999999999999	5.35	15.2	26.2	88.10000000000001
56	0.0	0.0	1945722.0	32427.5	6.35	5.5	15.325	26.2	110.125	0.0	0.0	0.0	102719.0	1711.8999999999999	7.8500000000000005	6.95	18.9	30.15	55.55	0.0	0.0	0.0	2048441.0	34139.3	6.45	5.5	15.7	26.2	110.125
57	0.0	0.0	1927807.0	32129.100000000002	6.525	5.5	16.0	27.3	82.85000000000001	0.0	0.0	0.0	101261.0	1687.6	8.05	7.1	18.9	31.225	77.6	0.0	0.0	0.0	2029068.0	33816.7	6.625	5.5	16.3	27.3	84.95
58	0.0	0.0	1963358.0	32721.6	6.550000000000001	5.5	16.15	27.3	89.15	0.0	0.0	0.0	102894.0	1714.8	7.9	7.1	18.9	30.4	63.949999999999996	0.0	0.0	0.0	2066252.0	34436.5	6.6	5.5	16.3	27.3	89.15
60	0.0	0.0	1959296.0	32653.9	6.8	5.8	16.8	29.4	109.05	0.0	0.0	0.0	103935.0	1732.1999999999998	8.275	7.3	19.9	33.575	80.75	0.0	0.0	0.0	2063231.0	34386.0	6.875000000000001	5.8	16.8	29.4	109.05
64	0.0	0.0	1987097.0	33117.2	7.125	6.0	17.8	29.65	124.775	0.0	0.0	0.0	104196.0	1736.6000000000001	8.549999999999999	7.75	20.174999999999997	32.5	84.95	0.0	0.0	0.0	2091293.0	34853.7	7.225	6.0	18.075	30.15	124.775
