18182288, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
17, avg(latency)=5940.327587, med(latency)=4926.442764, p99(latency)=46.0392350028
17875, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
609892584095, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
8102453, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
1414560, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
4819925, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
847, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
721666, avg(latency)=111.051793, med(latency)=111.051793, p99(latency)=111.051793
1657, avg(latency)=3561.034373, med(latency)=3561.034373, p99(latency)=179.36144808400002
9897871563028264, avg(latency)=115.473508, med(latency)=115.473508, p99(latency)=115.473508
2543, avg(latency)=115.473508, med(latency)=115.473508, p99(latency)=115.473508
862184, avg(latency)=115.473508, med(latency)=115.473508, p99(latency)=115.473508
22, avg(latency)=3309.541748785715, med(latency)=2207.6248244999997, p99(latency)=33.3194573608
1268, avg(latency)=115.473508, med(latency)=115.473508, p99(latency)=115.473508
9, avg(latency)=7882.7300061025635, med(latency)=4734.901662, p99(latency)=115.473508
30, avg(latency)=4797.098897333333, med(latency)=3483.7808259999997, p99(latency)=195.7980762448
4372, avg(latency)=1595.5478685, med(latency)=1595.5478685, p99(latency)=144.77898033789998
1626510899850, avg(latency)=115.473508, med(latency)=115.473508, p99(latency)=115.473508
4, avg(latency)=6714.221239999999, med(latency)=4108.721663, p99(latency)=44.846160264599995
0, avg(latency)=7255.764467434978, med(latency)=4666.3345930000005, p99(latency)=55.004877
2120, avg(latency)=783.922768, med(latency)=783.922768, p99(latency)=783.922768
402, avg(latency)=2442.087331, med(latency)=2442.087331, p99(latency)=816.7544263474001
44378025206, avg(latency)=783.922768, med(latency)=783.922768, p99(latency)=783.922768
56, avg(latency)=5521.956757, med(latency)=4504.272937, p99(latency)=857.5857013461999
8682377, avg(latency)=783.922768, med(latency)=783.922768, p99(latency)=783.922768
2, avg(latency)=7943.767872225565, med(latency)=5114.787446, p99(latency)=42.0224133316
713, avg(latency)=783.922768, med(latency)=783.922768, p99(latency)=783.922768
663765391359604224, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
11079018, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
35753713, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
26, avg(latency)=9155.043630266668, med(latency)=6062.124625, p99(latency)=1085.7205786737998
549187, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
101535597808869120, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
2243238439, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
1837711, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
100753, avg(latency)=1042.07287, med(latency)=1042.07287, p99(latency)=1042.07287
304, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
7374284, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
43731, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
7, avg(latency)=5372.500039979167, med(latency)=3660.4573204999997, p99(latency)=41.7498315965
6, avg(latency)=6791.09861718, med(latency)=4204.0349475, p99(latency)=719.7518188421
704, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
2087824956917, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
81, avg(latency)=3766.1355935, med(latency)=3766.1355935, p99(latency)=1147.1582965237
223458338, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
21, avg(latency)=3002.2737558125, med(latency)=2662.4210385, p99(latency)=47.568965065
1355, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
147, avg(latency)=2967.2770550000005, med(latency)=2967.2770550000005, p99(latency)=1131.3408974614
37, avg(latency)=8669.961947666667, med(latency)=4530.971132000001, p99(latency)=1087.5976291976
35431025260, avg(latency)=1094.255062, med(latency)=1094.255062, p99(latency)=1094.255062
19715499, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
8747, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
34041509629132188, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
8109270874447772, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
3406, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
2281, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
168934, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
29043054647363, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
2659, avg(latency)=1098.871919, med(latency)=1098.871919, p99(latency)=1098.871919
66, avg(latency)=4996.8119694, med(latency)=2366.418557, p99(latency)=1202.2538034692
48126504996, avg(latency)=1296.7994469999999, med(latency)=1296.7994469999999, p99(latency)=1296.7994469999999
149, avg(latency)=5033.328798, med(latency)=5546.181955999999, p99(latency)=1380.9372206781998
149479, avg(latency)=1296.7994469999999, med(latency)=1296.7994469999999, p99(latency)=1296.7994469999999
5178, avg(latency)=1296.7994469999999, med(latency)=1296.7994469999999, p99(latency)=1296.7994469999999
718873707977, avg(latency)=1296.7994469999999, med(latency)=1296.7994469999999, p99(latency)=1296.7994469999999
71, avg(latency)=5326.2451906, med(latency)=2149.4928290000003, p99(latency)=104.02748231359999
20586143, avg(latency)=1296.7994469999999, med(latency)=1296.7994469999999, p99(latency)=1296.7994469999999
19, avg(latency)=7519.696430125, med(latency)=3627.486821, p99(latency)=47.3098333175
430258, avg(latency)=1296.7994469999999, med(latency)=1296.7994469999999, p99(latency)=1296.7994469999999
1, avg(latency)=7017.194952334952, med(latency)=4581.629237, p99(latency)=40.93174067299999
257, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
2501751669876, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
3345, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
