benchmark_name,client_num,commit,errors,exp_duration,key_dist,key_dist_skew,n_clients_per_workload_node,n_hot_keys,n_hot_nodes,n_keys_per_statement,n_splits,n_statements_per_txn,n_warm_nodes,n_workload_nodes,op_type,ops/sec,p50_ms,p95_ms,p99_ms,pmax_ms,read_percent,sample_type,time_secs
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,27.0,117.4,704.6,738.2,771.8,90,interval,1.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.1,33.6,33.6,33.6,33.6,90,interval,1.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,50.1,1275.1,1476.4,1543.5,1543.5,90,interval,2.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,2.0,1409.3,1409.3,1409.3,1409.3,90,interval,2.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,3.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,3.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,39.9,2550.1,2818.6,2952.8,2952.8,90,interval,4.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,4.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,28.0,536.9,2818.6,2818.6,2818.6,90,interval,5.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,1.0,4831.8,4831.8,4831.8,4831.8,90,interval,5.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,102.8,453.0,3892.3,4026.5,4026.5,90,interval,6.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,6.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,73.9,1342.2,6710.9,6710.9,6710.9,90,interval,7.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,1.0,6710.9,6710.9,6710.9,6710.9,90,interval,7.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,137.1,520.1,1342.2,1476.4,1476.4,90,interval,8.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,3.0,4026.5,6174.0,6174.0,6174.0,90,interval,8.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,86.1,453.0,838.9,838.9,838.9,90,interval,9.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,9.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,32.0,352.3,805.3,1208.0,1208.0,90,interval,10.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,10.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,64.8,1879.0,2281.7,2281.7,2281.7,90,interval,11.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,2.0,3221.2,3758.1,3758.1,3758.1,90,interval,11.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,99.2,251.7,906.0,939.5,939.5,90,interval,12.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,12.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,31.0,369.1,1140.9,1275.1,1275.1,90,interval,13.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,13.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,31.0,1610.6,2281.7,2281.7,2281.7,90,interval,14.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,1.0,9126.8,9126.8,9126.8,9126.8,90,interval,14.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,33.0,469.8,1006.6,1006.6,1006.6,90,interval,15.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,3.0,2550.1,3087.0,3087.0,3087.0,90,interval,15.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,2.0,939.5,1476.4,1476.4,1476.4,90,interval,16.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,1.0,1946.2,1946.2,1946.2,1946.2,90,interval,16.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,1,1,10,1000,1,15,1,,15.0,1610.6,2080.4,2415.9,2415.9,90,interval,17.0
