benchmark_name,client_num,commit,errors,exp_duration,key_dist,key_dist_skew,n_clients_per_workload_node,n_hot_keys,n_hot_nodes,n_keys_per_statement,n_splits,n_statements_per_txn,n_warm_nodes,n_workload_nodes,op_type,ops/sec,p50_ms,p95_ms,p99_ms,pmax_ms,read_percent,sample_type,time_secs
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,39.2,35.7,872.4,906.0,939.5,90,interval,1.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,0.7,71.3,906.0,906.0,906.0,90,interval,1.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,38.1,771.8,1409.3,1476.4,1476.4,90,interval,2.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,1.0,1476.4,1476.4,1476.4,1476.4,90,interval,2.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,111.9,1140.9,2013.3,2415.9,2550.1,90,interval,3.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,5.0,1744.8,2415.9,2415.9,2415.9,90,interval,3.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,181.0,453.0,1275.1,1946.2,2147.5,90,interval,4.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,18.0,2013.3,3758.1,3758.1,3758.1,90,interval,4.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,48.0,771.8,1275.1,1342.2,1342.2,90,interval,5.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,1.0,1744.8,1744.8,1744.8,1744.8,90,interval,5.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,42.0,1006.6,1879.0,2013.3,2013.3,90,interval,6.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,3.0,1610.6,4831.8,4831.8,4831.8,90,interval,6.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,86.0,1275.1,2952.8,2952.8,3221.2,90,interval,7.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,8.0,2952.8,6174.0,6174.0,6174.0,90,interval,7.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,40.0,285.2,1006.6,1073.7,1073.7,90,interval,8.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,3.0,4831.8,6710.9,6710.9,6710.9,90,interval,8.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,111.8,234.9,1811.9,2550.1,2550.1,90,interval,9.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,10.0,2281.7,8589.9,8589.9,8589.9,90,interval,9.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,76.1,453.0,2281.7,2415.9,2415.9,90,interval,10.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,7.0,2415.9,9663.7,9663.7,9663.7,90,interval,10.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,79.0,234.9,1879.0,2080.4,2281.7,90,interval,11.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,10.0,3489.7,11274.3,11274.3,11274.3,90,interval,11.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,178.9,142.6,671.1,1543.5,1677.7,90,interval,12.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,14.0,704.6,11274.3,11811.2,11811.2,90,interval,12.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,67.0,79.7,604.0,738.2,771.8,90,interval,13.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,3.0,4026.5,12348.0,12348.0,12348.0,90,interval,13.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,41.0,8.9,1811.9,1879.0,1879.0,90,interval,14.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,1342.2,1879.0,1879.0,1879.0,90,interval,14.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,101.9,104.9,2415.9,2415.9,2550.1,90,interval,15.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,1.0,5905.6,5905.6,5905.6,5905.6,90,interval,15.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,33.0,805.3,1140.9,1275.1,1275.1,90,interval,16.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,16.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,62.0,637.5,1610.6,1677.7,1677.7,90,interval,17.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,10.0,12884.9,16643.0,16643.0,16643.0,90,interval,17.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,53.0,436.2,1946.2,2550.1,2550.1,90,interval,18.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,2684.4,10200.5,10200.5,10200.5,90,interval,18.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,80.0,251.7,1677.7,1946.2,2415.9,90,interval,19.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,16.0,5637.1,19327.4,19327.4,19327.4,90,interval,19.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,103.0,6.6,570.4,1342.2,1342.2,90,interval,20.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,14.0,570.4,5100.3,9126.8,9126.8,90,interval,20.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,31.0,14.7,1744.8,1811.9,1811.9,90,interval,21.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,6.0,1811.9,18253.6,18253.6,18253.6,90,interval,21.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,136.9,234.9,1610.6,1879.0,1879.0,90,interval,22.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,14.0,1946.2,15032.4,18253.6,18253.6,90,interval,22.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,57.0,453.0,771.8,838.9,1073.7,90,interval,23.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,6.0,838.9,19327.4,19327.4,19327.4,90,interval,23.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,3.0,5.2,1811.9,1811.9,1811.9,90,interval,24.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,1946.2,20401.1,20401.1,20401.1,90,interval,24.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,77.9,637.5,2281.7,2415.9,2415.9,90,interval,25.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,6.0,10200.5,23622.3,23622.3,23622.3,90,interval,25.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,8.0,226.5,1006.6,1006.6,1006.6,90,interval,26.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,1.0,1006.6,1006.6,1006.6,1006.6,90,interval,26.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,120.8,176.2,1811.9,1946.2,1946.2,90,interval,27.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,14.0,2415.9,19327.4,26843.5,26843.5,90,interval,27.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,28.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,28.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,33.0,2080.4,2281.7,2281.7,2281.7,90,interval,29.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,3.0,2281.7,6979.3,6979.3,6979.3,90,interval,29.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,41.0,805.3,2281.7,2818.6,2818.6,90,interval,30.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,3.0,9126.8,10200.5,10200.5,10200.5,90,interval,30.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,75.0,302.0,1409.3,1409.3,1543.5,90,interval,31.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,6.0,1409.3,17179.9,17179.9,17179.9,90,interval,31.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,738.2,1476.4,1476.4,1476.4,90,interval,32.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,1073.7,1476.4,1476.4,1476.4,90,interval,32.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,36.0,1610.6,2080.4,2550.1,2550.1,90,interval,33.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,7.0,2013.3,30064.8,30064.8,30064.8,90,interval,33.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,91.0,151.0,1208.0,2147.5,2147.5,90,interval,34.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,9.0,18253.6,33286.0,33286.0,33286.0,90,interval,34.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,40.0,536.9,805.3,838.9,838.9,90,interval,35.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,5.0,872.4,13421.8,13421.8,13421.8,90,interval,35.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,24.0,14.7,1744.8,1744.8,1744.8,90,interval,36.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,5.0,25769.8,36507.2,36507.2,36507.2,90,interval,36.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,107.0,159.4,2013.3,2080.4,2147.5,90,interval,37.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,18.0,13958.6,36507.2,36507.2,36507.2,90,interval,37.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,100.8,6.8,805.3,838.9,1073.7,90,interval,38.0
