benchmark_name,client_num,commit,errors,exp_duration,key_dist,key_dist_skew,n_clients_per_workload_node,n_hot_keys,n_hot_nodes,n_keys_per_statement,n_splits,n_statements_per_txn,n_warm_nodes,n_workload_nodes,op_type,ops/sec,p50_ms,p95_ms,p99_ms,pmax_ms,read_percent,sample_type,time_secs
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,24.8,67.1,838.9,872.4,872.4,90,interval,1.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.3,738.2,838.9,838.9,838.9,90,interval,1.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,154.0,637.5,1342.2,1342.2,1409.3,90,interval,2.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,1342.2,1342.2,1342.2,1342.2,90,interval,2.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,104.0,1208.0,1342.2,1342.2,1342.2,90,interval,3.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,6.0,1946.2,2684.4,2684.4,2684.4,90,interval,3.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,85.1,1208.0,1744.8,1744.8,1744.8,90,interval,4.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,3623.9,3623.9,3623.9,3623.9,90,interval,4.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,138.9,704.6,1543.5,1543.5,1610.6,90,interval,5.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,3.0,1543.5,1543.5,1543.5,1543.5,90,interval,5.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,6.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,6.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,14.0,2147.5,2550.1,2550.1,2550.1,90,interval,7.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,2684.4,2684.4,2684.4,2684.4,90,interval,7.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,81.9,2684.4,3087.0,3087.0,3087.0,90,interval,8.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,3.0,2684.4,6442.5,6442.5,6442.5,90,interval,8.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,9.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,9.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,104.7,2550.1,4563.4,4563.4,4831.8,90,interval,10.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,9.0,6979.3,10200.5,10200.5,10200.5,90,interval,10.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,11.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,11.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,12.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,4.0,10737.4,11811.2,11811.2,11811.2,90,interval,12.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,88.8,3355.4,3355.4,3355.4,3355.4,90,interval,13.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,13.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,4.0,1543.5,1610.6,1610.6,1610.6,90,interval,14.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,1543.5,1543.5,1543.5,1543.5,90,interval,14.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,85.8,1744.8,1879.0,1879.0,5100.3,90,interval,15.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,2.0,1946.2,14495.5,14495.5,14495.5,90,interval,15.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,16.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,16.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,52.9,2415.9,3355.4,3355.4,4160.7,90,interval,17.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,17.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,44.9,2550.1,2818.6,2818.6,2818.6,90,interval,18.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,5100.3,5100.3,5100.3,5100.3,90,interval,18.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,39.1,1409.3,1409.3,1409.3,1409.3,90,interval,19.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,5.0,3892.3,5905.6,5905.6,5905.6,90,interval,19.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,15.0,1879.0,1946.2,1946.2,1946.2,90,interval,20.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,3.0,6710.9,10200.5,10200.5,10200.5,90,interval,20.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,78.9,1946.2,2550.1,2684.4,3355.4,90,interval,21.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,6.0,2281.7,21474.8,21474.8,21474.8,90,interval,21.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,69.0,738.2,771.8,771.8,771.8,90,interval,22.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,4831.8,4831.8,4831.8,4831.8,90,interval,22.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,1.0,2.8,2.8,2.8,2.8,90,interval,23.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,2.0,12884.9,19327.4,19327.4,19327.4,90,interval,23.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,72.9,1677.7,1677.7,1677.7,2415.9,90,interval,24.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,8.0,14495.5,23622.3,23622.3,23622.3,90,interval,24.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,3.0,4.1,4.5,4.5,4.5,90,interval,25.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,16.0,21474.8,25769.8,25769.8,25769.8,90,interval,25.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,33.0,2818.6,2952.8,2952.8,2952.8,90,interval,26.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,8.0,8589.9,22548.6,22548.6,22548.6,90,interval,26.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,27.0,3758.1,3758.1,3758.1,3758.1,90,interval,27.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,27.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,66.9,1610.6,3758.1,4563.4,4563.4,90,interval,28.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,28.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,93.0,1342.2,1543.5,1543.5,1543.5,90,interval,29.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,29.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,30.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,30.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,31.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,0.0,0.0,0.0,0.0,0.0,90,interval,31.0
kv,0,hot_or_not-jeff,0.0,60,zipf,1.8,128,0,0,10,1000,1,16,1,,79.8,3087.0,3221.2,3221.2,3221.2,90,interval,32.0
